"Daily Weather Observations for Sydney, New South Wales for November 2019"
"Prepared at 12:09 AEDT on Friday 16 October 2020   IDCJDW2124.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-11-1,17.3,26.9,0,7.0,11.6,NE,57,17:00,20.5,78,0,NE,9,1018.1,26.4,60,0,NE,20,1014.6
,2019-11-2,17.6,27.9,0,10.0,9.1,,,23:01,21.6,76,7,,,1016.5,26.7,55,4,,,1012.8
,2019-11-3,17.8,28.5,0,9.2,3.7,,,23:01,21.9,76,6,,,1013.2,24.1,62,7,,,1009.0
,2019-11-4,16.1,25.2,18.2,5.8,11.0,,,23:01,20.2,75,2,,,1014.5,24.5,67,1,,,1012.7
,2019-11-5,14.7,20.0,0.2,8.2,9.7,SSE,2,14:35,17.2,62,5,,,1014.8,18.8,48,1,,,1015.4
,2019-11-6,11.5,27.9,0,7.4,12.8,NE,39,16:51,17.5,55,1,,,1013.9,23.8,46,1,E,26,1007.3
,2019-11-7,17.5,31.1,0,11.2,11.9,NW,57,09:35,25.2,23,0,NW,24,1003.9,27.8,32,1,ESE,28,1003.0
,2019-11-8,18.3,30.5,0,12.6,12.2,W,69,14:48,24.1,31,0,WNW,20,1002.2,30.3,19,3,W,39,997.8
,2019-11-9,12.7,21.0,0,12.6,12.3,WSW,46,07:16,15.1,36,1,W,22,1012.3,19.9,36,3,ESE,24,1010.1
,2019-11-10,14.0,25.6,0,10.0,12.2,W,44,06:41,18.4,40,2,WSW,26,1012.5,25.0,37,1,E,20,1011.0
,2019-11-11,14.4,26.6,0,8.0,11.7,NNE,56,18:30,19.5,66,2,NNW,20,1016.6,25.7,50,1,NE,28,1011.7
,2019-11-12,16.6,36.2,0,9.4,11.0,SSE,65,18:18,25.5,28,1,N,24,1007.3,35.7,10,2,WNW,26,1000.7
,2019-11-13,14.2,24.1,0,14.6,12.9,W,44,06:27,17.9,28,1,W,26,1013.6,22.4,33,0,E,19,1011.3
,2019-11-14,14.8,25.5,0,10.8,11.1,W,37,07:01,20.5,33,2,SW,7,1015.9,25.1,32,1,ENE,20,1011.1
,2019-11-15,15.3,31.5,0,10.0,11.8,S,52,22:20,22.8,45,2,W,6,1010.4,29.1,29,5,NE,17,1005.1
,2019-11-16,17.0,24.4,0,12.0,8.3,S,52,23:13,19.6,69,5,SE,19,1016.3,21.9,59,5,ESE,22,1014.7
,2019-11-17,18.0,23.1,0,5.8,4.9,ESE,46,11:28,19.9,80,7,S,11,1015.1,20.6,61,5,SE,26,1016.2
,2019-11-18,15.5,25.8,0,6.8,11.0,NNE,46,17:24,20.1,66,6,NNW,15,1019.4,24.3,58,0,NE,24,1013.2
,2019-11-19,16.2,32.3,0,9.0,12.4,SSE,56,19:44,23.7,43,0, ,Calm,1012.1,30.5,26,0,NE,24,1007.5
,2019-11-20,17.8,26.4,0,14.4,6.4,SSE,39,23:23,19.0,73,8,SSW,13,1018.3,25.9,49,1,E,20,1016.1
,2019-11-21,16.3,28.5,0,6.0,10.7,NE,52,16:39,22.0,73,0,N,9,1016.2,27.9,61,1,NE,22,1010.7
,2019-11-22,19.8,25.2,0,7.6,5.7,SSE,56,09:25,22.1,73,5,SSE,26,1012.7,22.3,68,6,SSE,20,1013.1
,2019-11-23,18.4,22.0,7.2,5.0,0.0,SSE,33,20:26,18.9,88,8,SSW,11,1015.4,21.3,78,8,ESE,9,1013.6
,2019-11-24,18.5,25.2,0.6,3.6,2.5,SSE,46,02:52,19.3,73,8,SSE,17,1020.0,24.8,57,7,ESE,17,1016.6
,2019-11-25,18.3,28.7,0,5.8,5.3,NNE,52,15:43,21.7,81,7,NW,11,1012.4,25.6,61,5,NE,19,1007.1
,2019-11-26,18.9,34.4,1.6,7.2,7.4,NNW,104,12:01,25.0,64,3,NE,11,1003.5,29.6,46,7,N,24,997.9
,2019-11-27,14.5,23.9,2.0,14.0,12.6,,,,18.3,43,1,S,4,1016.5,22.9,41,0,E,20,1014.6
,2019-11-28,,,,8.8,11.8,,,,20.0,70,1,,,1017.0,26.1,60,0,ENE,28,1014.1
,2019-11-29,20.0,29.9,,9.0,6.3,NE,41,18:52,21.5,79,8,NNE,7,1014.6,26.2,62,1,E,20,1010.1
,2019-11-30,19.4,24.2,0,6.6,3.5,SSE,56,09:33,20.4,80,7,S,26,1008.6,21.0,71,6,SE,9,1006.5
