"Daily Weather Observations for Sydney, New South Wales for January 2020"
"Prepared at 11:28 AEDT on Friday 16 October 2020   IDCJDW2124.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,18.9,27.3,0,14.2,4.5,SSW,39,23:28,20.9,68,8,S,11,1015.0,24.9,60,5,ESE,24,1013.5
,2020-01-2,19.3,29.0,0,7.2,5.3,SSW,35,23:02,22.6,64,7,ESE,17,1019.8,27.2,51,7,ESE,20,1017.4
,2020-01-3,21.9,29.4,0,,8.2,NE,43,16:22,24.1,79,8,WNW,9,1017.5,27.6,68,0,E,26,1012.5
,2020-01-4,20.9,36.4,0,15.4,10.5,S,81,22:23,26.6,72,1,E,9,1010.2,33.0,45,3,E,20,1004.8
,2020-01-5,21.4,26.6,0,16.0,4.4,SSW,67,23:05,22.5,66,6,S,20,1018.5,24.0,60,6,S,26,1018.2
,2020-01-6,19.4,27.9,0,8.4,0.2,ESE,31,06:53,21.8,70,8,ESE,17,1021.0,27.3,55,8,E,17,1018.0
,2020-01-7,20.1,28.8,3.0,4.0,2.8,NE,37,18:44,22.2,90,8,ENE,4,1015.8,25.1,79,7,ENE,26,1011.3
,2020-01-8,21.1,27.7,3.0,5.6,0.3,S,48,14:00,22.7,83,,SSW,20,1015.9,27.4,63,,S,33,1014.6
,2020-01-9,21.2,26.5,0,6.8,0.2,SSW,33,07:18,21.5,87,7,SSW,15,1018.1,26.2,66,7,S,17,1016.8
,2020-01-10,21.4,31.3,0.4,3.8,8.1,NNE,52,18:01,24.2,84,7,NNE,11,1013.6,30.5,60,0,NE,24,1006.7
,2020-01-11,19.0,23.1,0.2,11.2,0.1,S,76,01:12,19.1,83,8,S,24,1013.0,22.4,56,7,S,22,1013.0
,2020-01-12,18.9,22.1,0,6.4,0.0,SSE,37,14:12,21.6,60,8,SE,15,1018.2,19.4,87,8,SSE,20,1018.7
,2020-01-13,17.2,29.1,0.6,2.4,9.8,ENE,33,17:28,20.3,84,4,WNW,13,1020.2,27.2,51,3,E,20,1017.8
,2020-01-14,19.0,28.9,0,9.6,8.9,E,33,16:57,23.0,81,7, ,Calm,1018.1,26.9,60,1,E,24,1016.0
,2020-01-15,18.8,28.3,0,7.0,8.1,E,31,16:08,22.0,83,1,WNW,4,1014.7,26.8,57,6,E,24,1010.9
,2020-01-16,21.2,28.1,0.6,6.2,0.0,S,46,17:54,21.8,93,8,N,2,1007.8,24.9,82,8,ENE,4,1005.3
,2020-01-17,18.4,22.2,29.0,6.8,0.0,SSW,50,07:36,18.4,97,8,SSW,22,1008.9,20.0,94,8,SSW,22,1009.1
,2020-01-18,18.3,22.8,33.0,3.2,0.0,SSW,52,09:15,21.3,89,8,SSW,28,1009.1,22.1,83,8,SW,17,1009.2
,2020-01-19,18.7,26.6,4.0,3.0,2.6,SSE,28,12:51,20.4,94,7,W,11,1008.9,25.4,71,7,S,13,1006.5
,2020-01-20,20.4,29.1,0.2,3.4,8.3,NE,44,14:41,23.7,85,5,ESE,4,1004.9,26.2,86,7,NE,17,999.0
,2020-01-21,19.6,31.9,3.0,6.6,12.9,ESE,37,12:47,24.6,51,1,WNW,17,1007.2,29.6,41,1,ESE,26,1006.5
,2020-01-22,20.0,30.7,0,9.6,12.3,NE,44,19:43,23.3,81,1,WNW,6,1011.5,30.0,68,1,E,30,1007.1
,2020-01-23,22.7,41.2,0,10.6,8.4,NNW,72,12:41,30.3,48,5,N,22,1003.0,40.8,19,4,NNW,41,998.2
,2020-01-24,22.9,28.5,0,15.6,0.0,NNW,52,23:34,23.0,82,7,SSW,19,1009.8,27.9,63,7,E,13,1009.9
,2020-01-25,22.3,29.1,2.2,4.6,5.2,ESE,28,02:59,25.7,78,8,ENE,15,1015.1,27.9,75,5,E,19,1012.8
,2020-01-26,24.2,32.5,0,7.4,9.6,NNE,59,17:45,25.9,86,6,E,7,1012.1,30.7,67,6,ENE,20,1008.4
,2020-01-27,22.5,30.2,0.2,9.4,4.5,S,54,23:42,23.9,83,7,S,15,1014.7,29.4,67,3,ESE,17,1012.2
,2020-01-28,22.7,31.3,0,7.4,6.6,S,44,19:35,25.5,84,6,W,6,1012.9,27.6,76,7,E,17,1009.1
,2020-01-29,23.1,29.0,0,6.0,3.1,S,39,23:45,24.5,71,7,S,17,1016.3,27.4,65,7,SE,15,1015.8
,2020-01-30,19.9,30.1,0,7.6,11.7,ENE,39,16:40,23.0,83,7,W,7,1018.1,29.9,59,7,ENE,28,1014.2
,2020-01-31,23.0,32.4,0,7.4,10.8,NE,50,19:11,25.8,85,1,NNE,4,1015.9,30.4,68,0,ENE,28,1011.9
