"Daily Weather Observations for Sydney, New South Wales for March 2020"
"Prepared at 10:54 AEDT on Friday 16 October 2020   IDCJDW2124.202003"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-03-1,18.7,29.7,0,5.4,10.5,NNE,48,18:15,21.1,92,1,WNW,4,1014.4,28.2,62,5,ENE,20,1010.2
,2020-03-2,20.0,38.0,0,9.6,9.1,S,80,15:35,23.4,61,3,W,17,1009.2,37.5,19,7,E,9,1007.3
,2020-03-3,20.4,21.9,0,10.0,0.0,SSE,31,00:18,21.3,72,8,SSE,15,1019.1,20.5,81,8,SSW,13,1019.6
,2020-03-4,18.6,25.6,22.4,1.4,0.0,ENE,46,07:41,19.9,100,8,E,28,1019.4,24.7,74,7,ENE,15,1016.3
,2020-03-5,19.9,22.8,8.0,3.2,0.0,NNE,54,15:10,22.1,95,7,NE,15,1011.9,20.9,98,7,N,19,1008.0
,2020-03-6,20.7,27.6,40.6,1.4,5.7,S,44,17:18,21.7,98,6,WNW,13,1007.4,24.5,79,8,SSE,20,1009.2
,2020-03-7,19.4,24.9,0,6.8,6.4,SSE,44,13:56,19.9,84,7,SSW,19,1019.3,23.4,66,2,SSE,28,1019.5
,2020-03-8,16.6,23.2,18.8,7.8,3.6,SSE,33,01:49,18.1,95,8,SW,15,1021.5,21.3,66,7,SSE,17,1019.5
,2020-03-9,16.7,22.2,7.2,2.8,,SSE,37,13:40,16.7,96,7,ESE,4,1021.7,21.2,74,7,SSE,24,1020.6
,2020-03-10,16.6,23.6,4.0,4.4,4.9,S,24,09:37,18.7,80,6,S,13,1022.2,23.3,57,6,SE,13,1020.6
,2020-03-11,15.4,26.0,0,3.6,10.6,ESE,28,10:44,17.1,93,2,WNW,13,1023.4,25.3,55,4,ESE,19,1023.1
,2020-03-12,17.0,26.6,0.8,5.4,10.8,E,28,09:31,19.0,92,1,WNW,11,1025.7,26.2,53,1,E,17,1023.5
,2020-03-13,15.1,26.5,0,7.4,11.2,NE,37,16:52,17.1,91,1,WNW,13,1020.9,25.7,57,1,E,24,1016.1
,2020-03-14,17.1,17.9,0,7.8,0.0,S,65,07:03,17.3,80,7,S,41,1016.5,13.1,94,8,WSW,22,1018.4
,2020-03-15,13.0,20.3,12.6,4.4,3.3,SSE,48,08:57,17.2,76,4,S,22,1021.8,17.5,92,7,SSW,15,1021.8
,2020-03-16,15.7,22.5,15.0,3.4,3.3,SE,48,12:28,17.6,100,7,WNW,7,1024.7,18.9,92,7,SSE,19,1025.3
,2020-03-17,14.8,23.9,10.4,4.4,4.3,W,28,04:08,16.9,96,7,W,11,1027.8,22.9,65,7,ESE,13,1026.3
,2020-03-18,14.6,25.8,0,2.6,10.7,NNE,35,17:29,15.8,98,1,W,9,1027.0,24.5,59,2,ENE,19,1022.5
,2020-03-19,15.8,32.0,0.2,7.0,10.6,WNW,22,07:46,18.2,87,5,WNW,19,1022.1,30.4,46,3,ENE,13,1019.3
,2020-03-20,18.2,34.7,0,6.6,10.0,S,48,20:46,22.8,68,7,WNW,4,1015.7,34.3,29,1,NW,20,1010.9
,2020-03-21,18.1,27.6,0,9.8,9.7,SSE,39,13:45,19.6,90,1,WNW,13,1019.9,23.2,67,6,SSE,22,1019.9
,2020-03-22,18.0,29.6,0,6.8,10.3,SSE,48,18:56,19.8,91,7,W,6,1018.7,28.0,60,7,E,15,1015.8
,2020-03-23,18.1,23.0,0.6,6.6,4.9,S,46,02:16,19.9,69,5,S,15,1025.3,22.1,66,6,SSE,22,1024.6
,2020-03-24,16.4,22.4,6.0,5.0,0.5,NE,31,18:38,17.4,97,7,NNW,13,1024.8,21.5,75,7,E,20,1021.7
,2020-03-25,17.4,25.6,0.4,3.4,4.3,SSE,39,13:50,19.4,84,6,WNW,6,1019.1,23.5,73,8,SSE,24,1018.3
,2020-03-26,16.9,22.4,19.4,5.8,3.7,SSE,50,03:54,18.9,77,7,S,20,1025.0,21.0,72,6,SSW,28,1025.0
,2020-03-27,17.4,23.9,0.6,1.8,3.6,E,35,01:48,20.2,71,6,ESE,20,1027.2,22.5,52,6,ESE,19,1025.9
,2020-03-28,15.0,26.2,0,4.6,5.6,E,33,16:13,16.4,93,3,WNW,13,1025.6,24.7,53,7,ENE,17,1023.0
,2020-03-29,16.4,26.0,13.4,5.6,7.5,NE,41,14:01,18.5,100,5,W,2,1020.9,25.2,71,6,NE,24,1017.2
,2020-03-30,18.5,24.8,1.0,4.0,1.7,NNW,31,10:42,20.1,94,7,NW,6,1014.1,24.5,66,7,WNW,11,1011.4
,2020-03-31,17.2,27.0,0,2.8,10.1,ESE,28,13:23,18.1,95,2,WNW,11,1016.7,26.7,67,2,SE,17,1015.7
