"Daily Weather Observations for Sydney, New South Wales for July 2020"
"Prepared at 13:00 UTC on Saturday 17 October 2020   IDCJDW2124.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,7.9,22.8,0,1.4,8.9,W,28,05:49,11.2,87,1,W,22,1022.1,21.4,44,1,E,6,1017.8
,2020-07-2,11.2,22.9,,3.4,9.2,NNW,54,12:41,17.6,58,1,NNW,22,1016.1,21.3,46,3,NNW,35,1013.2
,2020-07-3,10.4,18.7,0,3.6,8.2,W,37,17:20,12.9,64,1,WNW,11,1020.8,18.5,40,2,W,19,1017.8
,2020-07-4,8.7,17.1,1.6,3.8,7.6,W,52,21:41,9.3,88,6,W,17,1019.7,16.0,40,1,SW,2,1018.6
,2020-07-5,8.5,19.1,0.2,3.4,8.6,W,39,09:53,11.2,67,1,W,20,1022.1,17.4,43,2,SSE,13,1021.1
,2020-07-6,7.8,19.3,0,2.4,9.2,W,31,03:58,10.3,79,1,W,24,1028.0,18.9,50,1,SSE,9,1026.0
,2020-07-7,10.2,16.9,0,3.0,3.5,S,37,18:11,11.1,76,2,WNW,19,1030.4,15.5,60,5,SW,11,1028.8
,2020-07-8,10.9,17.6,11.2,1.2,0.7,W,20,03:07,11.7,99,7,W,13,1031.5,14.2,79,7,ESE,2,1029.3
,2020-07-9,8.5,17.9,0,0.8,8.8,WNW,22,09:04,10.2,99,1,WNW,19,1031.5,17.0,78,2,ENE,19,1027.7
,2020-07-10,10.1,17.7,0,2.8,2.4,WNW,20,08:47,11.1,99,7,W,17,1027.2,16.5,76,7,WNW,7,1023.6
,2020-07-11,11.1,15.9,4.8,0.0,0.5,WNW,19,06:03,12.6,98,8,WNW,7,1018.1,15.7,88,7,WNW,6,1013.9
,2020-07-12,9.3,18.8,0.6,1.6,6.3,N,43,16:16,10.5,99,1,W,20,1016.4,15.4,70,5,ENE,9,1014.8
,2020-07-13,8.5,18.4,4.6,2.4,8.1,W,33,20:12,10.3,98,3,WNW,20,1018.7,16.9,58,4,SW,11,1016.5
,2020-07-14,10.3,15.9,19.4,1.2,3.3,SSE,74,10:30,14.5,82,7,S,30,1016.3,15.5,76,4,S,30,1016.6
,2020-07-15,10.9,15.0,16.4,1.6,2.1,SW,59,14:00,12.2,77,6,W,19,1018.3,13.8,71,7,SW,30,1016.3
,2020-07-16,9.3,15.3,0,4.4,2.1,SSW,57,14:18,11.3,63,4,W,26,1017.5,13.9,72,7,SW,24,1016.2
,2020-07-17,10.8,15.1,0.2,3.8,0.2,SSW,48,13:25,11.9,72,7,W,24,1020.4,14.9,70,7,SSW,20,1020.1
,2020-07-18,9.5,18.1,1.2,1.2,3.1,WSW,24,00:04,12.6,79,7,WNW,17,1022.0,17.6,59,7,E,7,1019.5
,2020-07-19,7.6,20.7,0,,7.3,W,22,07:32,10.1,95,5,WNW,15,1018.1,18.2,50,6,WNW,9,1013.4
,2020-07-20,9.9,19.4,0,5.0,9.7,W,46,06:30,12.6,44,1,WSW,24,1018.9,19.4,29,0,WSW,17,1017.9
,2020-07-21,7.8,17.4,0,4.0,9.7,W,37,06:41,10.6,67,1,W,24,1026.8,16.7,49,1,S,17,1026.3
,2020-07-22,7.0,20.0,0,2.6,8.1,WNW,26,04:57,10.1,77,7,W,20,1027.8,17.3,60,6,E,13,1024.0
,2020-07-23,7.3,20.1,0,2.2,9.6,W,26,08:09,10.0,79,1,W,19,1026.4,19.2,61,1,E,11,1024.0
,2020-07-24,8.1,19.0,0,2.8,8.7,E,24,13:37,10.1,99,1,WNW,13,1027.9,17.5,71,2,E,20,1025.1
,2020-07-25,9.3,18.0,0,3.0,1.6,ENE,33,19:59,9.8,99,7,WNW,6,1026.1,15.5,91,7,E,7,1023.4
,2020-07-26,9.8,16.5,7.4,0.4,0.0,SSE,74,19:53,13.6,100,8,W,9,1018.6,15.1,100,8,SSE,6,1011.7
,2020-07-27,13.5,16.3,84.6,25.4,0.0,SW,56,15:09,15.5,100,8,W,24,997.6,14.5,93,8,SSW,22,998.7
,2020-07-28,12.3,18.4,53.2,1.0,4.2,SSW,54,11:55,15.3,96,7,SW,26,1007.7,18.1,69,6,SSW,20,1009.8
,2020-07-29,10.1,19.3,3.8,2.6,9.2,S,33,11:59,13.8,79,2,WNW,17,1017.0,18.1,58,3,S,22,1015.5
,2020-07-30,10.1,18.3,0,4.0,9.4,SSE,39,15:55,12.4,83,1,WNW,20,1023.7,17.1,54,3,S,20,1023.0
,2020-07-31,8.2,18.8,0,2.6,9.6,W,26,08:43,11.0,79,1,WNW,20,1029.1,18.6,50,1,ESE,9,1026.4
