"Daily Weather Observations for Sydney, New South Wales for December 2020"
"Prepared at 16:00 UTC on Tuesday 16 February 2021   IDCJDW2124.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,19.3,28.4,0,6.4,7.0,WSW,56,17:40,21.3,81,7,NNE,17,1013.3,27.3,64,0,ENE,35,1006.9
,2020-12-2,19.0,24.0,6.8,9.4,2.8,SSW,56,02:03,21.6,74,7,SSE,30,1018.8,21.2,70,7,ESE,22,1019.7
,2020-12-3,17.2,23.0,0.6,5.4,0.0,NE,37,13:06,20.5,71,8,ENE,15,1022.7,20.7,78,8,NE,20,1019.5
,2020-12-4,18.6,30.0,0,4.0,12.8,SSE,35,21:23,23.0,80,0,NW,6,1015.1,25.5,64,1,E,13,1010.8
,2020-12-5,19.5,25.1,0,10.0,0.0,NNE,43,21:04,21.0,78,7,ENE,13,1013.1,23.6,73,8,ENE,13,1006.2
,2020-12-6,20.9,30.7,6.2,1.8,13.4,W,56,17:24,23.8,48,1,WNW,20,1002.0,29.7,22,1,W,31,1000.8
,2020-12-7,18.0,30.8,0,14.0,12.3,W,50,17:50,23.8,36,1,NNW,24,1005.3,29.7,23,1,W,24,1002.5
,2020-12-8,15.6,24.5,0,13.2,13.3,SW,63,23:24,18.4,44,1,SSW,17,1012.9,22.2,40,1,SE,24,1014.0
,2020-12-9,14.4,26.7,0,9.2,13.1,ENE,39,16:16,19.9,59,1,W,15,1020.1,24.6,49,1,E,28,1016.8
,2020-12-10,16.9,27.3,0,12.0,9.0,S,65,12:47,21.2,69,3, ,Calm,1017.7,24.1,65,5,S,41,1019.4
,2020-12-11,17.0,23.9,0,11.6,5.1,SE,50,00:22,19.7,52,6,SSE,24,1028.7,21.5,48,7,SE,22,1028.0
,2020-12-12,15.5,25.1,1.6,8.2,7.1,ESE,43,13:11,20.6,52,7,ESE,24,1030.5,24.7,51,6,SE,26,1028.7
,2020-12-13,16.0,27.5,1.6,9.6,9.0,E,44,20:37,21.4,67,4,ESE,13,1026.0,27.0,53,5,ENE,20,1023.7
,2020-12-14,18.1,24.8,3.6,9.2,0.3,ENE,39,09:20,21.6,80,8,E,9,1021.1,23.9,74,7,E,9,1019.3
,2020-12-15,18.7,24.8,11.6,1.4,1.1,E,48,18:31,20.7,100,8,ESE,17,1017.2,22.5,92,7,E,19,1014.4
,2020-12-16,20.6,27.7,12.2,3.6,4.1,NE,48,16:16,22.6,100,7,NE,17,1012.2,23.6,90,7,NE,28,1008.9
,2020-12-17,21.4,30.5,0.2,5.6,8.1,NNE,44,16:07,24.6,86,7,NE,11,1006.7,28.7,67,3,NE,20,1003.9
,2020-12-18,22.2,30.3,0,5.4,3.3,NW,46,10:08,27.3,78,6,ESE,6,1005.1,29.9,52,8,NW,20,1005.1
,2020-12-19,19.0,19.6,1.4,5.8,0.0,SSE,41,23:23,19.5,79,8,SSE,15,1017.2,19.0,90,8,SE,13,1017.4
,2020-12-20,18.0,23.7,7.0,1.4,1.8,SSW,26,00:31,19.0,99,8,SSW,13,1013.7,23.4,82,6,E,13,1011.7
,2020-12-21,18.8,24.5,1.6,3.0,0.8,ENE,31,13:59,21.4,92,8,E,4,1012.9,21.9,94,8,ENE,19,1009.8
,2020-12-22,17.7,27.6,26.2,2.0,1.8,W,54,16:03,19.7,99,7,W,11,1001.7,26.3,50,7,W,28,1002.6
,2020-12-23,16.2,26.3,0,8.8,12.2,SSE,52,13:54,20.7,55,1,W,26,1013.4,25.6,49,6,SSE,39,1015.1
,2020-12-24,17.2,26.9,0,7.0,11.6,NE,43,16:27,21.8,75,7,N,11,1017.0,25.6,59,6,NE,26,1013.0
,2020-12-25,18.0,21.9,0.6,10.2,1.2,S,44,02:22,18.7,88,7,SSE,22,1019.5,21.1,67,7,SSE,26,1019.9
,2020-12-26,17.5,25.8,0.8,4.2,2.5,ENE,46,14:29,19.8,92,7,W,4,1020.4,24.8,62,4,ENE,30,1017.0
,2020-12-27,17.3,27.4,3.6,6.6,11.7,NNE,37,18:51,19.4,93,1,WNW,17,1013.4,25.6,68,2,E,22,1008.9
,2020-12-28,19.3,30.3,0,7.4,4.2,SSE,54,12:24,26.2,65,7,SSW,20,1007.6,21.8,71,7,SSE,30,1009.7
,2020-12-29,16.9,20.8,14.0,6.0,0.0,SSW,44,15:29,17.3,98,8,SW,9,1015.1,20.3,82,7,SSW,20,1014.0
,2020-12-30,17.2,24.0,19.2,1.6,2.8,S,41,00:30,18.9,95,8,SSE,13,1018.8,23.2,68,7,ESE,20,1018.7
,2020-12-31,18.3,24.5,0.2,7.4,0.5,SSE,33,08:38,22.1,76,7,SSE,19,1020.2,21.4,85,8,ESE,15,1020.1
