"Daily Weather Observations for Sydney, New South Wales for March 2021"
"Prepared at 16:00 UTC on Sunday  2 May 2021   IDCJDW2124.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,19.8,30.8,0.2,6.4,9.5,SSW,54,22:36,21.5,95,7,W,9,1010.7,30.1,69,1,ENE,22,1005.7
,2021-03-2,20.1,24.7,0,8.2,7.7,SSW,48,23:41,21.4,78,5,SW,9,1011.5,22.0,57,5,SSE,26,1012.3
,2021-03-3,18.1,23.5,0.6,7.6,7.9,S,44,08:23,19.0,69,8,S,20,1015.7,22.9,59,3,SE,20,1015.2
,2021-03-4,16.0,28.7,0.4,6.8,11.3,ENE,33,15:40,17.8,81,1,WNW,15,1015.1,28.2,56,2,ENE,22,1009.3
,2021-03-5,17.8,25.0,0.2,8.0,10.2,SSE,52,10:52,20.1,75,1,WSW,9,1007.4,24.2,52,2,SSE,31,1008.7
,2021-03-6,17.9,24.8,0,8.4,9.3,SSE,37,16:58,19.9,55,7,S,15,1012.9,22.9,48,1,S,17,1012.3
,2021-03-7,16.1,27.3,0,7.0,9.5,NE,37,17:11,18.0,75,4,W,15,1015.7,26.6,59,5,E,24,1012.3
,2021-03-8,18.0,31.2,0,7.6,4.9,WNW,46,16:18,20.9,87,7,WNW,9,1011.9,28.5,56,7,NNW,11,1007.9
,2021-03-9,19.6,28.8,0,6.2,8.4,SSE,39,12:56,21.8,78,7,WNW,17,1011.4,28.3,63,5,SE,24,1012.1
,2021-03-10,20.4,27.9,0,6.6,3.6,ENE,33,19:28,21.8,76,5,SE,13,1020.6,27.1,61,6,E,22,1020.0
,2021-03-11,20.0,28.1,0.2,4.2,3.9,E,43,13:02,21.4,91,7,NNE,6,1021.9,24.9,69,7,ENE,24,1019.9
,2021-03-12,21.4,27.4,1.8,7.8,2.1,NE,44,17:22,22.6,83,7,NNW,9,1018.3,25.5,74,7,ENE,17,1015.6
,2021-03-13,20.4,29.4,25.6,0.6,10.2,NNE,46,16:56,20.9,99,3,W,7,1015.0,26.8,74,5,ENE,11,1010.2
,2021-03-14,19.3,19.3,22.8,10.0,0.0,S,57,10:38,19.3,98,8,SSW,24,1012.8,16.7,89,8,SSW,28,1015.8
,2021-03-15,12.2,24.3,21.6,4.0,10.8,SSW,41,09:23,14.0,85,1,W,19,1022.1,23.4,57,1,SSE,20,1021.6
,2021-03-16,14.0,21.2,0,6.6,0.3,ESE,46,20:54,17.1,76,8,W,9,1025.7,20.1,85,8,W,6,1023.9
,2021-03-17,17.1,23.8,13.6,2.4,1.1,ESE,52,15:24,19.9,77,7,SE,24,1025.5,21.9,71,7,ESE,33,1024.0
,2021-03-18,18.0,21.5,9.8,6.2,0.0,ESE,57,21:14,21.4,78,8,ESE,41,1024.3,19.5,98,8,E,13,1024.1
,2021-03-19,17.3,25.7,54.4,3.4,1.3,ESE,57,22:52,21.4,78,8,ESE,28,1025.6,22.9,73,7,ESE,28,1024.9
,2021-03-20,18.3,21.8,47.6,2.8,0.0,ENE,78,16:10,19.6,100,8,ESE,26,1022.5,19.1,100,8,E,31,1021.1
,2021-03-21,19.0,20.3,110.4,,0.0,E,70,06:47,19.4,94,8,E,44,1024.8,19.1,88,8,ENE,22,1024.1
,2021-03-22,18.0,19.9,28.4,4.6,0.0,E,44,23:12,18.0,99,8,NNE,22,1023.1,18.9,99,8,ENE,17,1019.6
,2021-03-23,17.2,20.4,46.8,0.4,0.0,NE,59,07:49,18.5,100,8,NE,31,1008.5,19.2,100,8,NNE,24,1000.9
,2021-03-24,17.7,29.2,19.4,1.8,10.7,WNW,46,14:15,20.4,85,1,WNW,15,998.7,29.0,44,4,WNW,26,997.7
,2021-03-25,17.1,29.1,0,6.6,9.0,W,33,20:26,18.9,78,7,SSW,2,1003.4,24.0,62,6,E,13,1003.3
,2021-03-26,15.2,26.3,2.0,6.6,10.3,W,26,23:01,16.8,82,1,WNW,19,1013.7,25.4,57,2,ESE,19,1011.8
,2021-03-27,16.6,28.5,0.2,4.6,9.8,W,28,05:27,17.8,92,1,WNW,17,1013.8,28.0,33,3,W,6,1011.2
,2021-03-28,16.7,27.0,0,6.8,10.6,ESE,31,13:24,17.7,87,1,WNW,13,1017.6,24.4,54,1,SE,20,1015.6
,2021-03-29,15.7,26.7,0,6.0,10.5,ESE,26,15:12,17.1,89,1,WNW,15,1020.2,25.9,56,2,ESE,20,1018.7
,2021-03-30,16.2,23.3,4.2,7.2,7.1,S,39,16:33,17.4,74,7,SSW,17,1023.8,22.4,49,7,S,20,1022.6
,2021-03-31,14.4,24.6,7.2,6.2,8.9,SSW,43,11:21,15.5,84,7,W,20,1024.4,23.8,48,1,S,19,1022.9
