"Daily Weather Observations for Sydney, New South Wales for July 2021"
"Prepared at 13:00 UTC on Saturday 21 August 2021   IDCJDW2124.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,10.9,17.7,3.4,0.8,1.5,W,20,03:31,11.6,100,8,W,17,1025.5,15.9,85,7,ENE,9,1021.8
,2021-07-2,11.1,20.7,3.0,1.4,5.3,NNW,26,20:33,12.0,100,8,WNW,11,1018.8,20.4,63,2,ESE,6,1016.1
,2021-07-3,8.5,20.8,0.2,1.8,7.7,W,30,07:41,10.3,91,1,WNW,22,1018.8,18.7,56,3,E,11,1015.8
,2021-07-4,7.9,16.0,0,1.3,9.8,W,39,04:44,9.9,66,1,WNW,20,1022.6,15.6,45,1,WNW,15,1019.3
,2021-07-5,6.7,17.5,0,3.6,9.5,W,35,19:32,9.1,75,1,W,20,1021.1,16.9,42,1,W,13,1018.5
,2021-07-6,6.1,16.7,0,2.8,7.5,W,39,07:49,8.1,75,7,W,26,1022.1,15.6,48,7,WNW,7,1020.1
,2021-07-7,5.5,19.1,0,2.2,7.5,W,31,03:59,7.6,80,1,W,22,1026.1,18.3,45,4,SSE,6,1023.6
,2021-07-8,6.3,17.2,0,0.6,6.8,WNW,22,07:49,8.5,94,4,WNW,17,1024.4,15.8,65,7,ENE,13,1020.3
,2021-07-9,8.5,12.5,0,1.8,0.0,W,37,23:30,9.9,90,8,WNW,15,1015.1,12.0,94,8,W,13,1011.7
,2021-07-10,9.9,14.1,5.2,2.0,0.1,SW,48,10:43,12.5,86,7,WSW,26,1017.0,13.2,87,7,SW,19,1018.9
,2021-07-11,9.6,17.5,21.8,28.6,5.0,SW,35,02:59,10.1,99,6,W,19,1026.8,14.7,71,5,SSW,13,1024.7
,2021-07-12,8.2,17.2,0.2,2.2,7.3,W,26,07:35,9.4,98,7,W,17,1024.6,16.6,65,7,NE,13,1019.9
,2021-07-13,8.1,19.6,0.2,0.8,8.6,WNW,26,00:40,10.2,90,1,WNW,15,1019.2,18.5,47,6,NW,13,1015.8
,2021-07-14,10.2,16.4,0,3.2,0.2,NNW,30,00:11,13.2,67,7,NNW,6,1014.4,12.9,87,7,E,6,1010.1
,2021-07-15,12.7,23.4,1.8,1.4,6.1,SW,33,16:45,15.8,74,1,N,19,1006.3,22.5,53,4,N,13,1001.9
,2021-07-16,10.5,19.1,0.2,2.2,8.4,WNW,72,15:16,13.5,80,1,NNE,9,996.7,17.4,45,2,WNW,31,993.1
,2021-07-17,11.9,14.6,2.0,6.6,9.1,NW,69,12:23,12.7,60,3,NW,33,997.0,13.7,44,1,NW,39,996.7
,2021-07-18,10.0,19.3,0,4.4,9.5,W,44,10:09,13.2,63,1,W,28,1011.8,18.9,41,3,WSW,20,1012.4
,2021-07-19,6.8,16.2,0,4.6,5.1,W,33,10:46,9.6,77,2,WNW,22,1018.1,15.0,52,7,WNW,17,1014.1
,2021-07-20,7.5,15.9,0,3.4,5.6,WNW,48,12:55,10.9,63,3,WNW,13,1011.2,14.1,52,7,NW,26,1006.0
,2021-07-21,8.9,15.0,0,4.0,5.1,SSW,61,12:57,9.9,54,5,W,24,1013.3,14.8,44,1,SSW,30,1015.2
,2021-07-22,5.2,18.3,0,2.4,9.5,W,33,01:05,8.2,70,1,WNW,20,1019.2,17.9,40,3,N,22,1013.9
,2021-07-23,8.2,17.5,0.4,3.0,2.2,NNW,41,05:26,10.9,76,7,N,4,1010.7,14.5,73,7,ENE,11,1005.9
,2021-07-24,10.9,18.6,0,2.2,6.9,W,61,14:39,11.7,82,7,W,19,1003.0,17.8,40,1,WNW,35,1000.9
,2021-07-25,10.2,16.2,0,7.4,9.6,W,78,11:31,11.4,50,1,W,33,1005.8,14.8,32,4,WNW,33,1008.5
,2021-07-26,9.5,20.6,0,2.2,4.5,WNW,44,15:07,13.5,64,1,WNW,11,1015.6,18.7,40,6,WNW,30,1014.3
,2021-07-27,11.2,20.5,0,4.0,9.6,WNW,43,10:59,15.2,63,1,NNW,9,1019.2,19.8,43,6,NW,24,1015.2
,2021-07-28,12.8,25.4,0,6.4,6.2,NW,74,19:30,16.7,46,5,NNE,6,1008.4,23.7,30,7,NW,33,1003.6
,2021-07-29,11.0,19.4,0,6.8,9.6,W,52,10:14,12.5,52,1,W,17,1014.0,18.9,27,0,W,24,1014.2
,2021-07-30,5.9,18.1,0,3.4,9.7,N,26,17:44,9.4,69,,WNW,19,1021.0,15.9,52,0,E,11,1017.4
,2021-07-31,8.2,23.3,0,3.8,6.6,NNE,28,13:49,14.9,50,6,NNW,7,1014.6,21.7,46,3,NE,19,1009.0
