"Daily Weather Observations for Sydney, New South Wales for August 2021"
"Prepared at 13:00 UTC on Tuesday 14 September 2021   IDCJDW2124.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,14.9,25.6,0,4.8,5.0,,,,20.2,57,1,WNW,15,1006.4,20.1,47,7,WSW,28,1009.0
,2021-08-2,8.1,18.9,0,3.2,8.6,NE,41,22:56,11.4,74,1,WNW,17,1020.9,18.2,54,3,E,9,1017.4
,2021-08-3,11.4,20.2,3.4,4.2,8.8,WNW,52,12:07,13.2,93,3,W,19,1010.2,19.1,36,1,WNW,30,1007.2
,2021-08-4,9.3,16.6,0,7.6,9.9,W,69,16:18,11.8,53,1,WSW,15,1012.6,16.0,37,1,W,35,1011.7
,2021-08-5,9.1,20.2,0,3.8,10.0,W,44,15:03,12.9,66,1,W,13,1016.8,19.3,38,1,W,22,1016.1
,2021-08-6,9.0,21.6,0,3.0,10.0,W,39,10:44,12.0,68,1,WNW,17,1022.2,21.0,35,1,NW,7,1019.6
,2021-08-7,8.3,20.0,0,4.6,10.1,SW,39,20:55,10.4,71,1,WNW,19,1025.9,19.5,37,0,W,7,1021.7
,2021-08-8,9.9,15.3,0.8,2.6,0.0,ESE,43,14:11,11.5,95,7,W,15,1031.9,13.5,86,7,E,9,1030.5
,2021-08-9,9.7,20.4,4.6,2.2,8.9,ENE,33,15:10,11.9,92,4,WNW,13,1031.6,18.6,55,2,NE,20,1026.6
,2021-08-10,8.8,22.8,0,3.4,8.0,NW,35,13:54,11.4,93,2,WNW,11,1028.2,22.0,44,6,N,15,1023.6
,2021-08-11,11.4,24.2,0.2,4.0,10.1,NNW,48,13:42,17.9,54,0,NNW,20,1024.7,23.9,39,1,NNW,26,1019.0
,2021-08-12,14.4,21.6,0,8.0,8.7,W,50,03:26,15.3,50,1,S,17,1025.0,20.9,25,1,WNW,17,1024.1
,2021-08-13,8.3,21.6,0,6.0,10.6,W,37,08:50,11.5,60,0,W,26,1027.9,20.6,41,0,ENE,17,1023.9
,2021-08-14,8.0,20.3,0,3.6,10.2,WNW,24,07:06,11.6,72,1,W,20,1029.2,19.3,55,1,E,15,1025.8
,2021-08-15,8.4,22.2,0,2.2,10.5,W,28,08:46,11.9,72,1,WNW,22,1025.7,22.0,27,1,NW,7,1021.1
,2021-08-16,10.1,23.2,0,5.4,10.6,W,65,18:53,13.5,51,0,W,6,1020.8,22.9,27,0,WNW,13,1016.8
,2021-08-17,9.8,20.6,0,3.6,10.6,W,41,00:10,13.3,54,1,W,24,1022.1,18.3,33,1,SE,17,1019.9
,2021-08-18,8.8,20.1,0,5.4,9.6,W,26,02:10,11.0,67,1,WNW,22,1026.1,19.8,49,1,E,15,1022.8
,2021-08-19,8.1,20.1,0,4.0,9.8,W,22,04:25,12.3,78,7,WNW,13,1024.7,18.5,64,1,E,17,1020.4
,2021-08-20,9.6,24.0,0,3.8,10.3,ENE,26,14:00,12.9,81,1,WNW,22,1021.5,21.3,43,1,E,17,1016.8
,2021-08-21,12.9,24.4,0,3.8,5.5,NNE,22,12:53,14.3,70,7,WNW,11,1020.3,23.9,41,1,N,6,1015.9
,2021-08-22,11.1,25.4,0,3.8,10.2,NE,37,16:40,13.4,74,1,WNW,13,1021.0,25.2,40,1,NE,20,1015.4
,2021-08-23,13.4,24.0,0,6.6,3.2,NW,63,14:46,21.6,53,5,NW,24,1013.3,22.9,44,7,NW,30,1009.1
,2021-08-24,9.3,11.5,32.6,7.0,0.0,W,74,22:56,9.3,97,8,W,33,1007.4,9.7,98,8,W,31,1002.3
,2021-08-25,7.9,15.7,39.8,,1.4,WSW,76,09:21,11.5,59,6,W,35,1010.8,15.6,51,7,W,31,1011.1
,2021-08-26,9.2,19.8,0,3.2,9.7,W,37,09:31,12.6,56,1,W,24,1018.2,18.9,47,5,SSE,17,1016.0
,2021-08-27,8.2,21.0,0,3.6,5.5,W,44,19:08,12.3,75,3,WNW,15,1016.9,18.6,32,7,W,19,1013.1
,2021-08-28,10.6,18.4,0,3.8,2.5,W,41,09:41,13.5,57,7,W,26,1016.8,16.2,61,7,SSW,15,1015.8
,2021-08-29,8.1,18.9,0,2.4,2.9,W,31,05:50,13.4,79,6,W,19,1015.9,17.8,52,7,ENE,11,1010.8
,2021-08-30,8.6,20.9,0,1.4,8.9,W,26,04:54,13.0,69,3,W,17,1018.9,18.2,48,7,E,15,1017.0
,2021-08-31,8.6,22.6,0,4.6,10.3,NE,28,16:20,13.3,76,0,WNW,15,1023.2,20.9,48,1,E,19,1019.7
