"Daily Weather Observations for Sydney, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday  7 October 2021   IDCJDW2124.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,10.5,25.7,0,5.0,10.7,W,24,02:29,14.7,62,3,WNW,19,1027.1,22.9,44,1,E,13,1026.2
,2021-09-2,13.5,22.6,0,3.4,8.6,NE,52,15:25,18.8,87,7,NE,22,1030.3,21.1,68,3,NE,30,1026.2
,2021-09-3,14.0,23.5,0,4.8,10.4,NE,52,16:00,18.4,66,1,N,9,1026.1,22.5,57,1,NE,28,1020.3
,2021-09-4,15.4,22.9,0,7.6,0.0,N,35,11:51,18.4,63,8,NNE,19,1019.2,19.2,70,8,WNW,15,1016.4
,2021-09-5,13.2,19.1,11.6,5.0,7.3,W,56,11:31,15.1,59,1,NW,19,1014.5,18.0,39,6,W,33,1013.7
,2021-09-6,9.4,18.9,0.8,4.8,10.7,WSW,52,10:49,13.4,55,1,W,28,1023.6,18.0,35,1,S,33,1024.0
,2021-09-7,7.2,24.4,0.2,5.6,10.7,WSW,50,11:39,14.0,57,1,WNW,19,1026.1,24.0,25,1,W,20,1022.9
,2021-09-8,9.6,21.7,0,5.0,10.7,ENE,26,13:53,15.0,63,1,W,13,1031.7,19.5,58,0,ENE,17,1026.8
,2021-09-9,9.7,28.3,0,7.8,9.5,NW,31,19:42,15.7,61,6,W,19,1026.5,27.8,24,4,W,13,1020.6
,2021-09-10,14.9,24.8,0,6.4,5.5,SSE,43,11:39,21.6,34,5,WNW,11,1021.5,18.9,70,6,ESE,19,1021.0
,2021-09-11,11.4,29.3,0,4.0,10.5,NNW,41,15:18,15.4,87,0,WNW,7,1017.7,29.1,24,0,NNW,24,1010.5
,2021-09-12,15.4,30.1,0,9.6,10.7,NW,59,15:30,23.7,32,1,NNW,26,1006.3,29.3,13,1,WNW,35,1002.1
,2021-09-13,12.1,17.7,0,11.6,6.4,S,54,15:39,16.0,54,3,SSW,11,1014.1,15.9,57,7,SSE,22,1015.5
,2021-09-14,9.7,15.9,18.4,7.2,5.0,SSW,57,13:05,12.5,75,5,SSW,13,1022.4,11.7,91,7,SSW,20,1022.1
,2021-09-15,8.8,18.0,4.8,2.6,9.9,,,,13.5,70,1, ,Calm,1024.5,16.4,61,2, ,Calm,1022.5
,2021-09-16,8.6,18.3,0.4,4.4,7.3,,,,12.8,80,5,,,1024.6,16.6,62,3,,,1022.0
,2021-09-17,9.5,21.3,0.2,2.8,10.8,,,,15.7,76,1,,,1023.0,20.9,57,0,NE,24,1018.1
,2021-09-18,15.7,24.3,0,8.8,0.7,W,48,15:55,20.7,48,7,N,17,1013.5,18.9,78,8,N,6,1012.8
,2021-09-19,10.6,24.4,2.4,3.4,11.0,W,33,12:40,17.5,44,1,NW,15,1022.4,23.8,25,1,WNW,15,1017.1
,2021-09-20,14.2,26.4,0,7.4,10.5,W,65,19:49,20.5,39,0,N,22,1014.1,26.0,20,1,WNW,28,1007.5
,2021-09-21,9.9,17.4,0,9.4,9.3,SSW,65,14:21,12.9,45,3,WSW,17,1016.1,17.0,45,5,S,33,1017.9
,2021-09-22,8.1,19.8,3.2,5.8,10.6,SSW,44,00:08,14.6,56,1,W,20,1023.7,19.5,52,1,SSE,17,1021.8
,2021-09-23,10.0,26.6,0,4.0,11.0,WNW,28,08:46,16.5,61,1,WNW,22,1020.3,22.4,49,0,ENE,17,1014.8
,2021-09-24,11.7,27.1,0,5.8,10.8,W,48,13:03,21.0,48,0,WNW,11,1014.4,25.6,30,4,WNW,28,1008.8
,2021-09-25,13.6,21.5,0,9.2,9.0,SE,50,14:12,20.0,31,1,SSW,20,1015.3,16.5,64,6,SSE,37,1016.8
,2021-09-26,10.9,16.0,3.0,7.4,3.1,SSE,48,12:03,13.9,63,7,S,26,1026.3,15.5,60,7,SSE,20,1025.9
,2021-09-27,9.7,21.0,0.4,4.4,5.8,E,33,13:41,15.3,74,7,W,9,1026.5,18.3,53,7,NE,20,1021.9
,2021-09-28,10.6,21.9,0,5.8,8.5,NE,48,17:23,18.0,65,2,NNE,4,1022.0,19.2,67,4,NE,17,1017.2
,2021-09-29,14.1,21.9,0,5.8,2.7,ENE,24,11:37,20.6,63,6,NE,7,1017.9,16.9,93,8,NE,11,1014.2
,2021-09-30,14.5,23.7,2.4,0.2,7.9,ENE,33,15:18,20.7,75,5,NNE,9,1012.4,23.1,64,6,NE,13,1008.9
