"Daily Weather Observations for Sydney, New South Wales for October 2021"
"Prepared at 05:36 UTC on Monday  1 November 2021   IDCJDW2124.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,14.8,24.7,0,5.2,4.6,W,80,17:11,17.1,81,8,W,9,1007.8,21.8,66,5,E,24,1002.3
,2021-10-2,11.9,24.9,3.2,7.0,7.8,SW,37,20:17,18.9,67,1,W,7,1004.6,19.4,70,7,E,17,1001.9
,2021-10-3,12.9,26.0,7.0,4.6,9.1,W,41,12:52,15.0,100,1,WNW,11,1004.7,24.1,41,5,W,17,1001.2
,2021-10-4,15.0,28.3,0,4.4,10.9,WNW,54,19:10,19.0,73,1,SSE,4,999.6,26.5,36,2,WSW,20,998.2
,2021-10-5,12.8,22.6,0,9.8,11.0,WNW,59,12:10,16.0,49,2, ,Calm,1008.1,21.8,24,1,WSW,31,1007.5
,2021-10-6,11.5,24.9,0,5.0,11.4,W,43,08:17,14.7,54,0,W,28,1016.1,22.3,43,0,ENE,20,1012.0
,2021-10-7,12.7,31.0,0,7.6,7.3,SSW,83,16:25,17.6,39,6,NNW,9,1009.4,30.5,21,3,W,22,1005.7
,2021-10-8,15.8,22.8,0,9.4,8.8,ENE,43,17:04,16.4,69,3,WNW,6,1019.0,21.4,54,1,NE,26,1017.0
,2021-10-9,13.4,25.6,0,7.8,10.3,NNE,31,18:22,16.2,84,7,WNW,9,1017.3,24.6,55,1,ESE,11,1012.5
,2021-10-10,16.2,25.5,0,7.6,4.6,S,65,14:08,20.9,66,7, ,Calm,1009.1,18.2,86,7,SSW,35,1007.1
,2021-10-11,10.3,15.5,14.4,4.6,0.0,S,54,00:59,11.0,94,8,SW,13,1016.0,13.2,89,8,S,17,1016.3
,2021-10-12,10.9,17.3,2.0,2.2,0.1,ESE,43,07:41,15.0,66,7,E,24,1018.9,16.7,57,7,ESE,22,1016.9
,2021-10-13,13.7,18.4,3.2,3.2,0.0,E,52,11:01,14.5,98,8,E,24,1017.0,17.3,92,8,ENE,31,1013.1
,2021-10-14,14.4,24.1,8.2,3.8,5.4,NNE,59,15:44,17.9,82,7,N,13,1009.6,22.0,77,7,NE,24,1004.1
,2021-10-15,13.1,22.1,10.0,7.2,8.3,WNW,74,12:17,16.3,67,5,WSW,24,1003.4,16.4,59,5,WNW,28,999.6
,2021-10-16,12.6,23.3,0.8,8.0,8.1,W,74,15:02,17.0,51,3,W,26,1002.9,22.2,36,2,WSW,28,1003.0
,2021-10-17,12.5,23.1,0,6.0,12.1,W,44,08:26,16.0,52,1,W,20,1014.6,21.9,51,1,E,19,1013.1
,2021-10-18,12.3,25.1,0,8.0,11.9,ENE,30,14:05,16.5,85,1,W,19,1016.8,23.8,42,1,ENE,22,1012.7
,2021-10-19,14.3,24.2,0,7.8,8.6,SSW,65,14:42,19.0,65,3,NNE,6,1015.6,19.7,68,7,S,30,1014.7
,2021-10-20,11.9,23.5,0,4.2,10.4,ESE,31,10:40,15.1,75,5,W,15,1017.8,23.0,49,2,SE,15,1016.7
,2021-10-21,13.4,24.8,0,5.6,11.8,E,28,16:36,17.3,89,2,WNW,11,1017.8,24.7,56,2,E,17,1015.7
,2021-10-22,15.3,25.1,0,6.4,10.5,E,26,15:31,18.2,87,3,NW,4,1018.0,24.2,63,2,E,17,1015.4
,2021-10-23,16.1,25.2,0,6.8,11.3,NE,35,17:09,20.0,90,1,NE,15,1013.7,24.5,72,4,E,22,1010.0
,2021-10-24,16.5,22.8,3.6,6.2,11.3,SSW,52,04:15,18.7,76,6,S,19,1015.5,21.8,54,1,ESE,26,1014.2
,2021-10-25,13.3,23.2,2.2,6.4,11.8,ESE,41,14:55,16.7,78,3,W,17,1016.5,20.9,52,1,SE,22,1014.7
,2021-10-26,12.7,23.4,0,10.0,12.0,ESE,31,13:57,17.2,65,2,WNW,9,1020.5,21.5,51,3,ESE,22,1017.8
,2021-10-27,16.0,25.4,0,5.8,11.1,ENE,28,13:46,19.1,76,6,E,4,1019.2,24.7,63,1,ENE,22,1014.6
,2021-10-28,16.3,30.4,0,5.6,9.4,E,28,12:19,20.1,79,6,W,15,1012.4,26.8,56,7,E,17,1008.5
,2021-10-29,20.1,33.0,0,7.2,8.0,W,81,15:26,24.3,42,7,NNW,9,1002.8,31.6,31,2,W,50,1001.5
,2021-10-30,16.0,20.9,0,11.4,5.5,SSE,41,14:04,17.2,57,7,SSE,17,1017.9,19.1,50,7,SE,24,1017.9
,2021-10-31,11.8,23.0,0,8.6,7.9,ENE,31,17:48,16.3,63,3,WNW,13,1025.9,21.6,47,1,E,20,1024.3
