"Daily Weather Observations for Sydney, New South Wales for January 2022"
"Prepared at 13:00 UTC on Monday  7 February 2022   IDCJDW2124.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,20.6,28.2,0,10.6,9.3,NE,48,13:54,24.1,69,7,NNE,22,1014.5,26.3,64,7,NE,28,1011.2
,2022-01-2,20.6,29.2,0,7.6,12.8,ENE,48,15:26,23.6,80,1,NE,17,1011.1,29.0,64,1,NE,28,1007.9
,2022-01-3,20.7,29.6,0,11.4,11.7,SE,33,15:02,24.5,65,2,E,4,1010.8,29.2,53,2,SE,15,1010.4
,2022-01-4,21.3,29.1,0,8.0,12.0,ESE,35,14:12,24.5,70,5,SE,13,1011.6,27.3,61,3,ESE,22,1011.2
,2022-01-5,21.5,27.2,3.8,9.4,1.1,ENE,48,21:47,22.3,96,7,SSE,13,1012.8,23.6,92,7,ESE,19,1011.3
,2022-01-6,21.6,28.7,12.0,2.8,8.1,ENE,54,14:52,24.8,83,6,ENE,35,1014.2,27.6,70,7,ENE,37,1013.4
,2022-01-7,22.3,26.3,1.0,5.8,1.2,NE,59,12:16,22.9,96,8,NE,19,1014.1,26.0,80,7,NE,33,1011.4
,2022-01-8,19.4,30.2,29.6,2.2,9.1,WNW,44,23:08,22.5,90,7,NNW,11,1009.5,28.4,69,4,E,19,1009.0
,2022-01-9,20.8,25.6,0.2,8.0,1.0,SSW,33,01:48,22.1,86,5,S,11,1016.1,24.1,85,8,SSW,19,1016.1
,2022-01-10,22.0,29.4,1.8,4.0,5.1,NE,37,16:01,25.3,87,7,ENE,13,1019.0,28.1,73,7,ENE,26,1018.0
,2022-01-11,22.7,28.1,0,5.6,4.3,ENE,35,15:45,25.1,85,7,NE,13,1020.0,26.0,80,8,E,24,1018.4
,2022-01-12,21.9,29.1,0,6.2,4.3,E,37,22:07,23.9,82,6,S,15,1020.1,25.4,73,7,SE,19,1018.6
,2022-01-13,19.8,25.0,43.6,5.2,4.8,SSW,30,12:07,22.1,94,7,WNW,9,1018.8,21.3,97,7,SE,11,1016.6
,2022-01-14,19.5,28.9,47.0,5.0,9.6,ENE,41,15:02,22.9,97,7,ESE,7,1011.4,28.4,66,6,NE,20,1008.4
,2022-01-15,21.2,28.1,0.4,9.4,4.7,NNE,37,17:29,22.6,93,7,NNE,9,1006.0,27.4,76,3,ENE,20,1003.7
,2022-01-16,22.1,29.3,0,5.4,10.9,S,44,03:55,24.4,84,5,SSW,19,1008.3,28.4,67,1,S,19,1008.2
,2022-01-17,21.2,28.6,0,6.6,7.0,E,30,14:08,24.3,88,6,SSW,4,1011.0,27.7,75,8,E,20,1008.6
,2022-01-18,22.6,23.8,0,8.0,0.0,SSW,43,06:12,23.2,87,8,S,24,1012.9,22.0,89,8,SSW,22,1012.8
,2022-01-19,18.6,23.8,12.6,2.8,0.4,SSE,57,15:19,18.7,96,8,SSW,22,1018.7,22.4,81,8,SSE,28,1020.8
,2022-01-20,18.6,24.3,5.0,5.2,5.6,SSE,54,03:59,21.6,61,7,SSE,30,1027.2,23.2,58,6,SSE,35,1027.8
,2022-01-21,18.5,26.1,1.6,8.6,3.9,ESE,50,13:52,21.7,69,6,ESE,19,1028.8,20.9,79,7,ESE,35,1027.7
,2022-01-22,17.4,25.5,3.8,5.4,9.5,ESE,37,11:49,20.6,88,5,ESE,19,1024.4,24.7,57,5,SSE,24,1022.1
,2022-01-23,18.7,25.4,2.6,6.8,5.5,ESE,31,13:26,20.4,93,7,S,15,1018.4,23.8,73,7,SE,13,1016.3
,2022-01-24,18.7,28.2,1.2,5.0,6.9,ESE,28,14:05,21.1,91,7,WNW,9,1015.1,26.7,65,6,ESE,20,1012.0
,2022-01-25,20.6,26.9,0,6.4,5.5,E,30,13:53,23.0,76,7,NE,7,1012.2,26.0,64,7,E,24,1010.1
,2022-01-26,19.7,27.7,0,4.8,10.0,ENE,30,10:58,23.5,71,7,E,9,1014.0,27.3,54,1,ENE,22,1013.8
,2022-01-27,19.8,28.6,0,11.4,7.7,NE,41,16:33,22.7,73,7,SSE,2,1016.7,27.1,61,4,ENE,30,1014.4
,2022-01-28,21.7,29.4,0,11.4,12.2,NE,46,15:36,24.0,76,3,NE,17,1016.9,28.8,62,3,NE,28,1014.5
,2022-01-29,21.5,29.5,0,8.0,10.1,NE,44,15:32,23.7,80,5,NE,19,1016.0,28.3,66,6,NE,26,1013.4
,2022-01-30,22.0,30.0,0,10.2,8.5,E,30,15:31,23.9,83,6,ENE,11,1016.0,28.0,69,6,E,20,1013.6
,2022-01-31,21.2,30.0,0,8.2,9.6,E,31,15:40,24.4,82,6,WNW,6,1010.9,29.4,65,2,E,17,1007.5
