"Daily Weather Observations for Sydney, New South Wales for May 2022"
"Prepared at 05:36 UTC on Wednesday  1 June 2022   IDCJDW2124.202205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-05-1,12.4,23.8,3.0,1.6,9.3,W,37,03:41,15.1,69,4,W,20,1023.4,23.6,56,3,E,11,1020.7
,2022-05-2,13.3,22.8,0,2.6,7.5,ENE,24,14:30,16.4,90,1,W,15,1024.0,21.0,71,2,ENE,13,1021.7
,2022-05-3,13.9,24.0,0,3.0,10.1,ENE,28,14:32,16.5,96,1,WNW,11,1022.1,23.0,62,1,ENE,19,1018.2
,2022-05-4,13.3,26.8,0,4.0,8.9,N,28,11:59,15.6,92,0,WNW,13,1017.0,24.7,63,2,ENE,13,1013.2
,2022-05-5,15.6,23.3,0,4.0,5.6,W,28,23:00,17.9,91,7,WNW,9,1013.6,21.3,65,4,SE,13,1011.8
,2022-05-6,11.3,21.5,0,,10.0,W,39,09:47,13.8,57,1,WSW,22,1019.8,21.5,31,1,W,9,1017.5
,2022-05-7,8.5,20.3,0,8.0,10.1,W,39,16:11,13.2,60,2,NW,11,1022.1,19.3,37,3,WNW,13,1019.3
,2022-05-8,10.2,21.5,0,4.2,9.7,W,35,09:52,13.7,61,1,W,20,1024.3,21.2,45,1,SSE,6,1022.9
,2022-05-9,12.4,18.1,0.4,2.8,0.5,SW,31,08:43,15.6,92,7,SW,15,1028.2,17.9,90,7,SSW,9,1027.0
,2022-05-10,13.6,21.3,6.4,0.8,6.9,ESE,41,12:30,15.2,100,5,W,13,1030.6,20.5,66,5,ESE,30,1028.8
,2022-05-11,15.2,19.3,26.4,3.8,0.0,ESE,48,11:36,17.0,96,8,W,17,1028.9,19.1,79,8,ENE,19,1025.5
,2022-05-12,16.5,20.6,31.4,2.0,0.0,NE,50,09:36,19.3,97,8,N,11,1021.4,20.2,93,8,NNE,17,1017.6
,2022-05-13,17.8,21.1,9.0,0.2,0.8,N,24,01:41,18.4,99,8,NE,2,1018.6,20.0,92,7,NE,7,1015.0
,2022-05-14,18.2,24.1,0.4,0.2,6.1,NE,22,15:06,19.5,98,7,WNW,2,1016.3,23.4,83,1,NE,9,1012.5
,2022-05-15,18.2,24.7,0.2,3.2,2.7,W,22,08:37,19.3,100,7,WNW,7,1014.3,22.7,81,7,E,13,1010.5
,2022-05-16,13.8,25.2,0.2,2.6,9.6,W,26,00:26,15.6,84,1,W,9,1015.2,24.7,49,1,E,7,1012.0
,2022-05-17,12.3,22.9,0,4.0,9.6,W,44,10:21,15.7,67,0,W,13,1019.9,22.8,40,0,WNW,9,1016.8
,2022-05-18,9.4,20.7,0,0.0,9.6,W,46,11:24,14.0,65,1,NW,11,1020.0,19.2,47,1,WSW,15,1017.7
,2022-05-19,9.0,20.1,0,4.0,9.4,W,35,08:57,11.8,67,3,W,26,1025.9,18.9,40,6,SSE,7,1025.1
,2022-05-20,10.6,14.9,4.4,3.4,0.2,W,31,08:47,11.2,96,8,WNW,22,1032.2,14.6,98,8,WNW,13,1030.4
,2022-05-21,11.2,18.4,28.2,1.6,2.1,ESE,35,20:18,14.4,100,5,W,19,1032.2,17.7,80,7,S,6,1029.4
,2022-05-22,13.3,18.4,22.8,4.8,1.6,NW,33,08:00,14.4,100,7,SSW,11,1028.6,18.4,70,7,SE,15,1026.6
,2022-05-23,12.4,16.0,15.0,2.6,0.7,E,31,13:54,13.9,100,6,WSW,4,1028.8,14.8,97,8,ESE,17,1027.9
,2022-05-24,12.9,18.6,30.8,6.4,1.7,W,26,01:30,13.7,100,7,W,17,1028.5,16.7,90,6,NNW,2,1026.1
,2022-05-25,11.7,20.6,5.0,0.4,7.9,W,22,02:18,13.0,100,4,WNW,13,1025.3,17.4,79,7,SSE,13,1021.7
,2022-05-26,11.6,20.5,0,1.4,8.8,E,22,13:04,14.1,98,6,WNW,11,1021.6,20.1,76,1,E,19,1018.2
,2022-05-27,12.1,21.4,0,2.0,8.6,ENE,22,14:57,13.1,100,2,W,13,1019.6,21.1,69,1,ENE,19,1015.8
,2022-05-28,13.1,21.7,0,2.6,6.2,W,28,16:35,15.2,96,4,W,19,1012.8,20.7,57,6,W,13,1008.9
,2022-05-29,9.9,18.1,0,2.4,9.5,WSW,43,13:23,12.0,77,1,W,22,1008.7,17.4,43,1,W,24,1005.2
,2022-05-30,8.2,15.9,0,3.4,3.1,NNW,96,17:06,12.2,69,7,N,11,1001.8,15.4,70,7,NNE,15,990.9
,2022-05-31,10.0,17.9,3.6,5.2,8.1,W,74,11:56,13.9,61,1,WNW,20,995.1,14.5,50,2,W,35,997.6
