"Daily Weather Observations for Sydney, New South Wales for September 2019"
"Prepared at 09:20 AEDT on Friday 16 October 2020   IDCJDW2124.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,10.0,23.4,2.2,2.8,10.7,NNE,31,18:43,13.8,75,1,WNW,20,1022.2,20.8,60,1,ENE,19,1017.8
,2019-09-2,11.1,20.7,1.0,5.0,10.7,SSE,48,13:36,15.5,65,1,WNW,24,1018.2,18.7,55,1,S,28,1017.6
,2019-09-3,10.3,23.7,0.4,3.2,10.6,WNW,26,07:16,15.8,70,1,WNW,17,1018.0,22.3,38,1,ENE,19,1014.1
,2019-09-4,10.3,27.3,0.2,4.0,10.2,W,44,18:12,14.8,67,0,W,15,1015.8,26.7,25,1,E,7,1010.4
,2019-09-5,14.7,22.2,0,7.2,10.1,S,30,03:59,17.7,70,1,WNW,13,1016.8,20.6,61,1,E,17,1013.5
,2019-09-6,14.0,28.5,0,3.8,6.9,W,91,19:06,19.0,70,2,NNE,24,1006.8,21.9,66,7,NE,11,997.6
,2019-09-7,10.9,19.1,0,8.0,10.9,W,74,10:17,15.3,40,1,WNW,35,1007.4,18.0,27,0,W,41,1006.6
,2019-09-8,11.4,19.5,0,8.0,10.8,W,67,08:20,13.7,39,1,W,43,1013.0,19.3,27,1,W,24,1009.5
,2019-09-9,10.8,17.4,0,5.0,8.0,W,57,11:02,12.9,44,3,W,37,1011.2,16.1,41,7,S,28,1012.1
,2019-09-10,8.0,17.0,0,8.2,8.2,SSE,54,11:22,13.0,50,6,S,6,1024.7,16.3,53,6,S,28,1025.0
,2019-09-11,8.5,20.1,0,4.0,10.4,W,28,08:02,13.2,70,5,WNW,13,1031.5,18.1,55,1,E,19,1027.7
,2019-09-12,8.8,26.7,0,3.8,7.5,WNW,33,15:14,13.4,74,7,W,13,1023.8,25.7,18,7,WNW,17,1016.8
,2019-09-13,13.4,21.5,0,6.4,7.8,S,35,03:10,17.0,72,5,SE,20,1024.6,19.1,60,3,E,17,1020.3
,2019-09-14,11.2,20.3,0,4.8,10.3,SW,37,06:59,18.2,59,2,SSW,15,1023.4,19.2,52,1,ESE,20,1022.1
,2019-09-15,9.6,27.9,0,5.2,10.6,NNE,28,16:08,15.4,66,1,WNW,17,1022.5,23.3,44,7,ENE,13,1017.5
,2019-09-16,15.4,26.7,0,6.2,2.4,SSE,74,14:53,22.1,21,7,W,7,1015.0,19.2,73,7,S,50,1014.5
,2019-09-17,8.8,14.6,,4.2,0.0,SE,67,18:33,10.5,98,8,SSW,20,1022.0,13.9,96,8,SE,28,1020.4
,2019-09-18,10.5,18.1,,,0.1,SSE,57,09:58,14.5,97,8,SSE,35,1025.5,17.3,94,8,SE,13,1023.9
,2019-09-19,14.5,21.2,27.8,4.4,5.4,ENE,35,17:01,16.3,97,7,SE,2,1027.2,20.7,76,6,E,22,1024.9
,2019-09-20,15.5,22.4,0,2.6,9.1,ENE,46,11:16,19.5,79,7,NE,19,1027.1,21.1,75,3,NE,22,1022.7
,2019-09-21,16.9,24.4,0.2,6.2,4.3,NE,43,13:19,18.7,81,7,NNE,19,1022.1,21.9,71,6,NE,26,1017.2
,2019-09-22,18.3,23.1,0.2,4.8,7.1,,,,18.8,67,5,WSW,13,1021.4,20.5,50,3,ESE,24,1019.7
,2019-09-23,11.7,21.6,0,6.2,7.6,W,44,17:58,17.5,54,1,WNW,9,1023.2,18.5,41,7,ESE,17,1020.5
,2019-09-24,9.2,21.3,0,5.0,11.1,E,33,14:46,15.2,47,1,WNW,19,1027.5,19.1,49,1,E,26,1023.3
,2019-09-25,9.3,21.9,0.4,6.6,11.0,ESE,37,14:10,15.7,52,1,WNW,13,1028.2,18.9,63,2,SE,20,1026.2
,2019-09-26,12.3,22.1,0,4.0,8.3,ENE,37,16:22,18.0,68,3,W,2,1026.8,19.4,67,3,ENE,24,1022.2
,2019-09-27,13.6,25.5,0,4.6,9.9,ENE,26,14:37,18.4,77,1,W,13,1019.5,22.1,58,7,ENE,20,1013.5
,2019-09-28,15.1,20.8,0,9.4,9.2,SSW,61,04:50,16.9,60,6,SSW,17,1016.7,18.5,44,1,SSE,33,1016.3
,2019-09-29,11.1,21.1,0,5.4,10.4,ENE,33,15:15,16.7,64,4,WNW,7,1018.9,20.0,60,1,E,24,1015.5
,2019-09-30,14.2,19.4,0,6.0,2.6,SSE,39,11:50,15.4,84,7,ESE,9,1024.4,15.4,74,7,SE,20,1025.3
