"Daily Weather Observations for Sydney, New South Wales for October 2019"
"Prepared at 12:33 AEDT on Friday 16 October 2020   IDCJDW2124.201910"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-10-1,12.1,21.1,0.8,3.4,7.2,E,33,15:31,17.8,64,4,WSW,2,1031.8,20.0,54,1,NE,20,1028.5
,2019-10-2,11.5,22.7,0,4.4,10.7,NNE,37,16:04,17.4,71,0,W,9,1029.1,22.2,64,3,ENE,22,1023.6
,2019-10-3,14.1,29.3,0,,11.1,NNE,31,14:59,20.6,55,0,WNW,11,1024.8,26.0,42,1,NE,15,1019.6
,2019-10-4,17.0,33.2,0,15.4,9.8,SSW,57,12:58,26.0,35,1,WNW,13,1017.9,22.5,65,5,SSE,31,1017.3
,2019-10-5,15.1,19.5,16.4,7.8,3.5,SSE,31,07:50,15.2,96,7,SSE,11,1024.2,18.7,72,7,SSE,13,1022.1
,2019-10-6,15.1,23.6,0.6,4.0,4.9,NNE,48,19:37,16.5,80,7,N,13,1018.1,20.0,74,7,ENE,22,1011.1
,2019-10-7,16.4,23.4,0,4.0,6.9,SE,39,10:49,19.1,79,7,S,17,1011.9,21.1,72,7,ESE,20,1010.4
,2019-10-8,16.3,23.7,0,4.4,5.7,S,50,13:43,17.7,90,6,WNW,13,1011.3,16.5,80,6,S,28,1010.1
,2019-10-9,10.4,19.3,1.0,5.2,11.0,S,57,16:18,13.3,60,4,W,19,1022.2,18.4,46,2,S,26,1021.7
,2019-10-10,10.8,20.4,0.6,6.8,11.1,SE,46,22:50,15.0,66,2,SSW,17,1023.5,20.0,56,2,SSE,28,1021.1
,2019-10-11,11.8,19.3,0.6,6.0,9.3,ESE,37,21:11,15.6,80,5,WNW,11,1020.2,16.7,64,5,ESE,19,1017.2
,2019-10-12,11.8,19.8,12.0,6.2,4.2,SE,44,14:40,15.4,70,6,SE,19,1018.8,15.1,75,7,SSE,26,1017.8
,2019-10-13,11.1,20.5,3.4,4.4,7.4,WSW,24,00:47,13.1,86,7,WNW,17,1021.7,18.1,66,4,ESE,17,1019.3
,2019-10-14,11.9,22.2,0,4.2,7.0,E,33,11:18,15.8,76,5,NNW,7,1018.1,20.3,65,7,ENE,24,1013.7
,2019-10-15,15.1,25.1,0,5.6,9.7,NE,50,18:37,17.2,88,7,WNW,11,1013.6,23.2,67,1,NE,22,1009.7
,2019-10-16,17.2,24.1,0,7.4,6.1,SSW,37,03:59,18.6,84,7,S,17,1012.8,21.3,73,6,ESE,15,1009.2
,2019-10-17,17.0,28.0,0,4.2,11.4,W,72,16:31,19.3,85,3,WNW,13,1006.5,26.2,26,2,W,37,1005.6
,2019-10-18,11.6,23.7,0,10.0,11.5,W,39,23:29,16.0,42,0,WSW,15,1017.5,22.6,44,0,NE,17,1013.9
,2019-10-19,14.0,28.4,0,8.8,10.5,W,70,16:11,19.0,34,1,W,11,1015.3,27.7,19,2,WNW,37,1010.0
,2019-10-20,11.9,22.5,0,8.8,12.1,ESE,31,10:28,15.4,44,1,W,17,1022.4,21.8,35,1,E,19,1021.0
,2019-10-21,11.6,24.0,0,6.8,12.2,ENE,30,14:19,15.7,69,5,WNW,17,1027.2,22.7,57,1,ENE,24,1024.7
,2019-10-22,12.7,24.2,0,5.8,12.2,E,37,14:30,16.2,81,1,W,13,1026.1,22.4,57,1,ENE,20,1022.0
,2019-10-23,15.2,25.6,0,7.4,11.6,ENE,48,12:35,19.9,80,3,NNE,9,1023.9,24.1,65,1,ENE,24,1018.1
,2019-10-24,18.1,27.4,0,8.0,10.9,WNW,39,15:48,20.7,82,1,S,13,1019.0,24.2,69,2,ESE,17,1016.3
,2019-10-25,17.1,36.7,0,8.6,9.7,NNW,48,11:13,25.7,43,0,WNW,20,1012.6,35.3,16,5,NE,13,1006.7
,2019-10-26,22.9,31.1,0,13.2,9.8,WNW,74,03:35,26.5,37,6,WNW,19,1003.3,30.4,18,3,WNW,35,1001.5
,2019-10-27,15.5,24.2,0,14.2,12.3,W,50,07:32,17.9,30,5,WSW,28,1015.5,22.9,35,1,E,22,1013.7
,2019-10-28,13.0,22.5,0,8.0,7.3,ESE,43,14:07,18.1,74,3,WNW,11,1021.6,21.7,61,3,ESE,28,1022.3
,2019-10-29,13.4,26.0,0,5.4,12.2,NE,46,14:37,18.0,78,3,WNW,9,1024.1,25.4,54,0,NE,22,1018.9
,2019-10-30,16.1,26.3,0,10.0,5.2,E,28,14:04,20.0,77,7,WNW,9,1018.6,24.2,64,7,E,22,1015.7
,2019-10-31,17.4,26.5,0,5.0,10.2,ENE,41,16:21,20.4,87,5,NE,6,1017.9,26.1,61,0,ENE,19,1015.4
