"Daily Weather Observations for Sydney, New South Wales for December 2019"
"Prepared at 11:45 AEDT on Friday 16 October 2020   IDCJDW2124.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,17.1,24.3,0,6.8,6.3,WNW,48,22:24,18.3,65,8,ENE,6,1006.9,23.2,60,2,ENE,22,999.0
,2019-12-2,16.5,22.9,0,8.8,6.3,WSW,70,16:39,18.7,43,7,W,26,994.6,21.3,30,3,W,35,993.9
,2019-12-3,14.0,28.7,0,8.0,10.7,W,41,19:23,19.0,38,0,W,17,1005.3,26.4,32,0,NE,19,1002.5
,2019-12-4,18.1,30.9,0,9.0,10.8,NE,31,13:27,23.3,34,0,NW,11,1009.0,27.2,32,0,E,17,1005.8
,2019-12-5,15.9,34.6,0,7.0,10.7,S,37,21:43,24.0,36,1,NW,13,1009.4,33.8,17,,E,17,1003.9
,2019-12-6,17.6,24.2,0,8.0,3.7,SSE,46,18:41,22.1,74,5,E,11,1007.0,23.5,74,,E,17,1003.4
,2019-12-7,17.6,26.1,0,5.0,7.9,ESE,39,21:16,21.7,73,3,E,2,1013.0,24.4,63,,E,22,1010.5
,2019-12-8,19.4,26.9,0,8.0,4.7,E,37,14:17,21.8,63,7,E,20,1019.6,26.0,55,5,E,24,1019.2
,2019-12-9,20.0,26.4,0,7.6,7.0,NNE,54,18:24,23.1,76,7,NE,20,1021.8,25.7,66,1,NE,26,1017.1
,2019-12-10,18.7,30.1,0,8.2,6.5,S,61,17:43,22.8,83,0,WNW,4,1012.7,25.8,70,7,SSE,26,1010.9
,2019-12-11,18.1,24.3,0,6.6,2.9,S,43,00:41,18.4,79,8,SW,19,1016.4,22.4,60,4,SE,20,1013.3
,2019-12-12,18.2,23.6,0,6.6,3.9,ESE,35,15:09,19.6,75,8,S,13,1014.7,21.9,61,8,ESE,20,1013.0
,2019-12-13,18.2,24.8,0.2,7.2,0.7,ESE,33,13:49,19.8,75,8,E,7,1016.1,22.8,62,5,ESE,24,1013.4
,2019-12-14,19.0,28.1,0,4.2,6.7,SSE,33,17:47,21.8,74,4,W,4,1011.9,24.7,68,1,E,20,1008.2
,2019-12-15,20.3,28.8,0,7.6,4.2,NNE,35,18:29,23.1,79,7,W,4,1010.8,25.2,68,8,ENE,13,1005.7
,2019-12-16,19.3,24.0,0,6.6,9.1,S,65,03:12,22.3,65,3,S,20,1011.9,23.1,57,6,SE,31,1014.4
,2019-12-17,16.4,26.5,0,7.4,12.5,E,28,15:45,21.0,59,2,ENE,6,1020.7,24.6,49,0,ESE,20,1019.5
,2019-12-18,16.7,27.5,0,8.8,11.1,ENE,50,14:42,21.9,63,1,N,13,1020.4,26.5,53,1,NE,28,1016.8
,2019-12-19,18.8,39.8,0,11.2,6.1,S,59,14:43,23.9,65,0,WNW,13,1013.0,31.6,42,,ESE,7,1010.0
,2019-12-20,18.9,28.9,0,7.4,10.2,ENE,37,17:26,22.4,72,5,S,7,1020.9,25.6,60,0,E,19,1017.9
,2019-12-21,20.5,29.9,0,8.6,8.5,S,65,16:58,24.4,74,0,N,4,1013.8,28.1,63,0,E,19,1007.8
,2019-12-22,18.4,23.4,0,10.0,3.5,SSW,44,23:36,19.3,69,7,SSE,22,1021.4,22.9,52,7,SSE,20,1021.7
,2019-12-23,16.9,26.1,0,6.4,2.4,NNE,31,14:20,19.3,71,7,W,7,1021.2,24.9,54,6,NE,17,1017.3
,2019-12-24,19.3,29.1,0,5.2,1.9,E,31,10:28,23.5,85,7,E,17,1014.4,26.0,68,7,E,15,1014.0
,2019-12-25,21.3,29.3,1.6,4.4,10.5,ENE,43,15:39,23.7,76,5,ESE,13,1017.9,28.2,55,1,E,28,1016.1
,2019-12-26,20.1,29.4,0,8.6,12.1,NE,52,16:37,23.4,70,2,NE,13,1019.3,27.9,53,0,NE,26,1016.8
,2019-12-27,19.7,29.1,0,11.4,11.7,NE,54,17:56,24.2,65,1,NNE,19,1020.5,27.6,50,0,ENE,28,1018.3
,2019-12-28,19.1,30.8,0,12.0,11.4,NNE,56,18:12,23.8,68,0,ENE,13,1018.8,30.3,46,0,NE,20,1015.3
,2019-12-29,19.7,26.8,0,11.0,5.4,ENE,31,16:40,22.9,77,0,E,6,1016.6,26.5,62,,E,15,1013.7
,2019-12-30,19.3,28.3,0,5.8,10.3,NNE,43,15:47,22.4,83,,E,9,1014.5,27.4,56,,E,22,1009.9
,2019-12-31,20.3,36.6,0,8.2,9.7,S,69,17:28,25.5,67,,ESE,4,1007.5,36.0,30,1,NNE,26,1003.3
