"Daily Weather Observations for Sydney, New South Wales for February 2020"
"Prepared at 11:12 AEDT on Friday 16 October 2020   IDCJDW2124.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,23.7,36.4,0,9.6,11.3,NNE,56,16:02,26.5,85,0,E,13,1011.0,35.5,48,1,NE,17,1006.9
,2020-02-2,24.6,31.1,0,10.0,3.1,SSE,44,15:08,25.3,81,4,S,13,1007.1,29.3,69,6,SE,26,1005.1
,2020-02-3,22.2,31.7,23.0,7.8,6.9,SSE,72,17:51,23.3,97,8,SSE,11,1006.1,28.8,66,5,E,19,1003.1
,2020-02-4,18.2,23.7,3.0,9.4,4.5,SSE,54,00:21,18.9,58,6,SSW,22,1020.8,21.6,56,7,ESE,20,1020.9
,2020-02-5,17.9,27.4,0.6,7.0,9.3,E,37,15:19,20.5,72,3,W,9,1021.2,25.9,57,7,E,20,1018.5
,2020-02-6,20.4,24.4,0.6,8.0,0.0,ENE,44,04:48,23.1,77,7,ENE,22,1022.2,23.1,80,7,E,9,1021.6
,2020-02-7,18.5,22.6,78.2,4.0,0.0,E,59,00:07,19.2,100,7,ESE,35,1021.3,20.7,99,7,ESE,28,1019.7
,2020-02-8,18.9,23.8,69.2,,0.0,ESE,70,14:56,22.5,88,7,E,24,1018.9,21.1,94,7,ENE,44,1017.6
,2020-02-9,19.1,21.9,65.4,,0.0,ESE,102,14:17,19.2,99,8,SE,43,1014.6,20.2,100,8,ESE,59,1008.9
,2020-02-10,19.2,27.8,164.8,,5.6,ESE,63,00:20,21.7,,6, ,Calm,1010.2,26.7,81,5,E,20,1007.8
,2020-02-11,20.6,30.8,0,4.2,10.5,NE,44,15:16,21.9,94,4,W,11,1009.2,26.9,74,6,ENE,17,1006.9
,2020-02-12,21.9,26.4,0,7.8,2.3,ESE,33,14:48,24.3,90,5,E,6,1009.7,23.9,90,8,ESE,20,1009.7
,2020-02-13,21.5,26.3,7.8,3.0,0.9,ENE,35,13:00,23.6,99,7,ESE,17,1011.7,23.0,95,7,ENE,17,1010.8
,2020-02-14,20.2,27.8,5.4,4.0,12.1,SSE,35,13:09,22.7,81,2,SSE,17,1010.2,26.9,57,1,SSE,19,1007.1
,2020-02-15,18.3,28.5,0,8.0,8.2,ESE,26,11:07,21.0,88,1,WNW,11,1006.0,25.3,68,7,ESE,13,1006.4
,2020-02-16,20.2,27.7,1.0,4.4,9.3,ESE,30,13:15,22.1,81,2,SSW,9,1014.5,26.6,64,7,SE,20,1014.2
,2020-02-17,20.7,26.1,1.0,5.6,2.1,W,17,06:44,22.1,91,7,WNW,7,1014.9,24.2,79,7,ENE,11,1012.8
,2020-02-18,20.3,30.0,0.4,3.0,7.0,W,104,21:50,21.7,94,7,NNW,6,1010.0,29.7,67,7,NE,22,1005.1
,2020-02-19,19.9,29.1,11.2,9.8,12.1,W,44,08:59,22.4,57,0,W,22,1003.1,28.2,35,3,W,15,1002.6
,2020-02-20,17.7,25.5,0,9.8,10.2,ESE,39,14:21,19.7,77,5,SE,9,1010.7,24.1,55,2,SE,20,1011.2
,2020-02-21,19.7,26.6,0,7.0,6.8,SE,37,18:39,21.9,72,7,ESE,4,1016.5,25.2,63,7,ESE,19,1016.1
,2020-02-22,18.5,24.3,0,5.8,0.8,SSW,33,02:42,19.4,86,7,ENE,15,1023.9,23.4,67,7,ESE,6,1023.3
,2020-02-23,19.4,25.9,0,4.6,1.4,ENE,30,00:29,21.7,80,7,WNW,9,1024.7,25.2,64,7,NE,15,1023.0
,2020-02-24,19.1,28.4,2.0,4.2,11.6,ENE,31,13:59,21.7,83,6,WNW,7,1021.5,27.9,62,1,E,26,1018.9
,2020-02-25,19.8,29.7,0.2,8.0,11.1,NNE,48,17:14,22.0,88,1,NW,2,1017.2,29.2,58,5,ENE,28,1013.0
,2020-02-26,21.7,32.2,0,8.8,9.0,SSW,74,18:36,26.1,67,7,NW,6,1006.8,28.9,58,7,NW,11,1003.0
,2020-02-27,20.1,27.2,0.6,10.6,6.8,SSE,39,23:27,21.0,67,7,SSE,4,1011.8,26.6,55,2,E,28,1007.9
,2020-02-28,18.7,25.7,0,6.4,11.1,SSE,43,15:32,20.5,61,1,SSW,19,1010.8,23.7,60,7,SSE,19,1012.3
,2020-02-29,19.0,27.9,0,6.8,8.1,E,33,15:00,20.4,80,2,WNW,13,1017.6,26.9,53,7,E,22,1014.6
