"Daily Weather Observations for Sydney, New South Wales for June 2020"
"Prepared at 13:00 UTC on Sunday 18 October 2020   IDCJDW2124.202006"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-1,14.4,22.6,0,2.8,7.6,NNW,61,14:51,17.9,58,3,N,22,1009.3,21.6,35,5,NNW,37,1005.5
,2020-06-2,7.8,14.9,4.8,6.8,0.8,WSW,56,18:24,8.1,91,7,NW,13,1014.3,14.8,55,7,W,19,1014.5
,2020-06-3,8.1,18.7,0.2,2.0,9.4,SW,44,12:12,13.7,64,1,W,24,1021.5,17.3,43,1,S,26,1023.8
,2020-06-4,10.1,17.0,0,3.8,6.0,W,37,05:26,11.3,63,5,W,22,1032.9,16.5,54,5,SSW,19,1030.8
,2020-06-5,7.1,19.4,0,2.4,9.8,W,24,00:03,9.3,84,1,WNW,15,1030.6,18.6,61,1,E,13,1025.6
,2020-06-6,7.4,19.7,0,2.4,9.8,W,28,06:53,9.4,77,1,WNW,19,1026.1,17.7,54,2,E,4,1022.2
,2020-06-7,8.3,17.2,0,2.6,1.9,S,33,15:31,9.5,91,7,WNW,17,1023.3,14.7,77,8,S,17,1021.8
,2020-06-8,9.2,17.3,19.8,2.0,6.8,SW,43,12:10,10.9,86,1,W,22,1028.4,15.8,69,6,SSW,24,1028.0
,2020-06-9,10.7,19.8,4.8,3.4,4.8,SSW,26,10:42,11.9,100,3,WNW,13,1033.2,19.6,75,5,SSE,13,1031.3
,2020-06-10,11.9,16.1,6.2,1.0,0.0,ENE,37,16:06,13.7,100,7,W,11,1029.9,15.9,98,8,NE,6,1026.0
,2020-06-11,13.4,,7.2,1.4,7.5,SSE,41,15:05,13.9,98,1,WNW,19,1023.7,,,3,SSE,26,1022.3
,2020-06-12,11.9,16.2,,2.0,0.3,WNW,28,00:26,13.8,96,8,WNW,15,1026.3,14.5,97,8,W,15,1024.3
,2020-06-13,11.1,19.8,6.0,2.0,4.3,E,22,14:26,12.6,100,6,WNW,13,1023.5,18.1,84,7,ENE,11,1018.9
,2020-06-14,12.6,21.8,10.0,0.8,6.3,WNW,41,17:44,14.4,98,7,NNW,9,1014.0,21.2,36,1,W,20,1014.4
,2020-06-15,8.8,20.6,0,3.0,9.8,W,30,09:52,11.8,72,1,WNW,15,1023.6,20.1,51,1,WNW,19,1021.0
,2020-06-16,10.3,21.5,0,3.2,9.3,WNW,30,12:27,13.0,79,0,WNW,13,1024.2,21.4,46,1,WNW,13,1021.8
,2020-06-17,10.7,17.4,0,3.4,1.5,SSE,39,16:54,12.8,76,6,WNW,20,1031.7,16.7,72,8,SE,24,1032.7
,2020-06-18,11.8,19.9,3.2,1.2,4.7,SE,30,04:13,13.3,87,7,WNW,17,1038.3,17.2,59,3,E,13,1035.1
,2020-06-19,9.1,20.1,0,4.0,8.7,E,24,14:22,11.3,95,1,WNW,15,1032.6,19.0,72,1,ENE,17,1027.6
,2020-06-20,9.0,21.8,0,2.8,6.8,N,24,15:24,9.3,99,7,WNW,17,1024.9,21.2,53,1,S,2,1019.5
,2020-06-21,9.3,19.3,5.8,1.4,5.0,WSW,43,07:09,11.7,95,8,NW,9,1014.3,18.7,66,1,W,9,1008.8
,2020-06-22,9.1,17.8,0.6,2.0,4.3,W,39,16:17,10.4,79,7,W,17,1010.6,14.7,57,5,WNW,19,1008.6
,2020-06-23,7.8,17.4,0,2.0,8.6,W,44,12:47,10.8,69,3,W,13,1012.3,17.0,43,3,W,28,1011.1
,2020-06-24,7.8,18.8,0,3.6,5.4,SW,43,14:58,11.1,72,3,WNW,20,1014.3,17.5,54,7,SW,22,1013.6
,2020-06-25,9.5,19.7,0,2.2,9.3,W,41,02:09,11.5,77,0,W,26,1019.9,18.7,46,1,W,26,1018.1
,2020-06-26,8.5,19.3,0,3.0,8.7,WNW,33,05:05,10.8,72,1,W,19,1023.9,18.3,48,2,SSE,15,1022.6
,2020-06-27,9.5,16.6,1.2,2.6,2.7,S,33,11:56,10.7,82,7,NW,9,1027.9,15.2,66,7,SSE,19,1026.3
,2020-06-28,9.1,16.2,0.2,2.4,2.0,SSE,41,16:24,9.8,80,5,WNW,20,1028.3,14.9,67,7,S,22,1026.3
,2020-06-29,9.5,16.8,8.4,2.6,1.7,W,26,07:33,11.8,99,7,WNW,17,1028.1,14.7,78,7,SSE,13,1026.1
,2020-06-30,8.5,18.8,1.8,0.8,8.0,ENE,24,14:25,9.7,100,2,W,13,1026.9,18.6,74,5,ENE,13,1022.1
