"Daily Weather Observations for Sydney, New South Wales for August 2020"
"Prepared at 16:00 UTC on Friday 16 October 2020   IDCJDW2124.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,6.8,20.3,0,2.8,9.8,W,24,03:55,9.2,92,1,WNW,15,1027.1,17.4,63,3,E,17,1022.9
,2020-08-2,7.2,20.1,0,2.6,8.9,W,26,08:05,10.9,81,1,WNW,22,1025.5,18.6,51,5,ESE,13,1022.6
,2020-08-3,7.5,21.8,0,3.2,6.6,W,24,06:28,9.9,93,6,WNW,19,1020.3,20.1,41,7,ESE,7,1014.7
,2020-08-4,8.8,21.5,0,3.4,8.7,W,48,16:25,13.0,64,1,NW,4,1011.8,19.9,38,7,NW,22,1007.5
,2020-08-5,6.4,18.1,0,5.2,10.0,WSW,57,22:26,10.3,49,1,NW,24,1013.4,17.8,26,1,WNW,24,1011.2
,2020-08-6,6.7,17.6,0,4.0,9.9,W,43,10:20,9.9,56,1,W,20,1019.1,15.8,39,4,SE,17,1018.3
,2020-08-7,8.9,13.6,0,3.4,0.0,ESE,37,12:44,11.7,87,8,WNW,17,1022.3,12.2,97,8,SE,13,1018.4
,2020-08-8,11.2,15.8,28.6,1.6,1.0,W,41,22:40,12.4,100,7,W,20,1014.2,14.3,88,7,W,9,1010.6
,2020-08-9,8.5,14.7,6.0,2.6,1.6,NW,57,18:25,11.2,77,7,W,22,1011.7,10.5,95,8,W,30,1007.5
,2020-08-10,9.1,16.8,36.2,1.6,4.6,SSE,74,06:39,14.6,69,2,SSE,39,1015.7,15.2,59,7,SSW,15,1017.7
,2020-08-11,10.2,18.2,2.0,3.2,4.8,W,31,03:45,12.0,87,7,WNW,17,1021.7,16.5,64,6,ESE,4,1018.4
,2020-08-12,10.2,18.6,0,2.8,1.3,NNE,48,19:46,13.2,89,7, ,Calm,1016.9,17.6,60,7,N,7,1012.0
,2020-08-13,9.8,23.3,1.2,1.0,9.1,W,31,02:16,13.4,98,1,N,2,1014.5,23.1,44,3,WNW,11,1012.3
,2020-08-14,10.5,17.6,0,2.8,1.8,W,20,06:44,13.3,88,7,WNW,15,1016.0,17.1,72,8,WNW,4,1012.5
,2020-08-15,11.8,20.6,3.2,0.6,7.7,WSW,56,15:30,14.4,91,2,W,20,1007.5,19.8,46,6,W,30,1004.9
,2020-08-16,12.4,20.6,2.0,6.0,8.1,W,59,15:26,14.6,70,6,W,15,1007.1,19.2,39,3,W,35,1004.3
,2020-08-17,10.1,21.0,0.2,5.2,10.8,W,44,10:11,14.7,64,1,W,20,1008.9,20.4,41,1,W,24,1006.0
,2020-08-18,10.8,21.3,0,5.4,8.9,WNW,41,12:25,14.6,62,6,NW,15,1006.8,19.6,46,6,W,19,1001.7
,2020-08-19,11.1,21.4,0,4.0,9.7,W,83,17:08,16.7,57,1,N,28,997.4,19.4,33,4,NW,30,992.2
,2020-08-20,11.3,18.7,0,7.0,10.8,W,69,12:52,14.1,49,1,NW,26,1000.8,17.7,37,1,WNW,39,1002.1
,2020-08-21,9.7,18.4,0,5.4,9.6,NW,52,12:29,14.5,56,1,NW,17,1007.4,17.6,41,7,WNW,31,1003.8
,2020-08-22,9.3,15.8,0,6.6,10.3,NW,56,10:06,11.1,56,4,WNW,22,1004.4,14.6,34,6,WNW,35,1002.3
,2020-08-23,8.9,17.3,0,3.0,10.8,WNW,69,12:52,12.1,51,1,W,39,1007.2,16.2,37,2,WSW,39,1007.3
,2020-08-24,8.4,19.6,0,5.4,11.0,W,50,00:32,11.7,48,0,W,28,1019.0,18.0,37,1,SE,17,1018.7
,2020-08-25,6.2,18.9,0,4.0,10.7,W,33,07:38,10.7,56,1,W,22,1027.2,14.7,55,1,SSE,19,1026.1
,2020-08-26,6.2,20.1,0,3.8,10.8,W,28,02:54,10.6,67,1,WNW,20,1030.6,17.3,51,0,E,20,1026.7
,2020-08-27,6.6,22.4,0,3.0,10.8,NNW,28,17:35,10.7,68,1,WNW,20,1026.8,22.1,22,1,E,13,1020.7
,2020-08-28,10.7,19.6,0,7.4,10.7,SW,41,05:43,14.6,37,1,SW,19,1024.1,17.9,32,0,SE,15,1025.0
,2020-08-29,7.4,22.3,0,4.6,10.9,W,22,04:53,12.5,65,0,WNW,15,1030.7,19.7,47,0,E,17,1026.9
,2020-08-30,8.2,24.7,0,5.0,11.0,WNW,20,09:10,12.5,72,0,WNW,15,1025.4,24.1,47,0,ESE,13,1018.4
,2020-08-31,12.5,22.6,0,6.8,9.2,SSE,57,13:19,18.9,56,1,NW,13,1018.0,,,1,SSE,37,1018.1
