"Daily Weather Observations for Sydney, New South Wales for October 2020"
"Prepared at 05:36 UTC on Saturday 31 October 2020   IDCJDW2124.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,14.4,25.5,2.6,3.8,9.2,E,39,13:04,19.2,70,1,WNW,6,1014.8,22.0,57,1,ENE,19,1014.5
,2020-10-2,11.6,24.7,0.2,3.8,11.3,N,31,19:35,18.1,75,0,WNW,13,1024.5,23.2,54,0,ENE,15,1021.9
,2020-10-3,12.9,25.2,0,7.2,11.2,NNE,48,17:56,20.2,61,0,WNW,11,1026.8,24.9,56,0,NE,24,1021.5
,2020-10-4,15.8,24.8,0,7.6,11.1,NNE,52,17:30,17.5,91,4,E,4,1021.4,23.8,65,1,E,24,1017.2
,2020-10-5,17.2,33.7,0,8.8,11.4,S,70,22:32,23.5,47,1,N,22,1017.2,30.4,37,1,ENE,13,1013.6
,2020-10-6,15.2,19.8,0,10.0,0.0,SSW,54,03:01,16.3,88,7,SSW,17,1022.3,18.8,77,8,S,22,1021.0
,2020-10-7,16.2,21.5,0,2.0,0.0,SW,24,23:38,17.8,91,8,SW,7,1020.8,18.9,91,8,ESE,15,1018.5
,2020-10-8,17.1,29.4,0.4,2.2,9.4,NNW,54,16:15,20.2,86,7,N,6,1011.8,24.7,65,6,ESE,6,1008.4
,2020-10-9,14.3,23.5,1.0,7.0,11.3,W,56,17:34,17.0,54,2,W,17,1014.6,22.5,32,2,WNW,24,1012.6
,2020-10-10,13.9,26.0,0,8.0,11.8,W,41,02:54,16.6,52,0,W,26,1019.4,23.4,35,1,E,24,1016.5
,2020-10-11,13.4,28.2,0,8.6,9.1,NE,37,15:05,17.7,58,2,WNW,7,1021.6,26.6,35,6,NE,20,1018.2
,2020-10-12,17.0,25.3,0,7.2,8.5,SSE,37,23:09,19.2,85,6,WNW,11,1024.3,24.0,60,3,ESE,19,1021.0
,2020-10-13,14.8,28.8,0,7.6,11.9,S,48,20:00,17.8,86,0,WNW,11,1022.5,26.5,45,1,E,15,1020.2
,2020-10-14,16.7,23.5,0,7.8,11.2,S,39,00:05,18.7,73,5,SSE,24,1027.6,21.9,61,7,ESE,19,1025.0
,2020-10-15,15.0,25.8,0,5.0,10.2,ENE,44,13:08,19.5,79,3,N,11,1021.0,24.6,57,1,NE,22,1014.7
,2020-10-16,18.1,19.7,0,8.6,0.5,SSW,59,05:43,18.2,81,7,SSW,30,1018.8,18.7,71,7,SSE,24,1019.6
,2020-10-17,15.6,26.3,0,3.4,4.7,NE,48,14:09,19.5,83,8,NE,15,1014.6,25.3,65,7,NE,26,1008.3
,2020-10-18,18.0,26.2,1.8,5.8,4.0,SE,46,15:06,19.9,80,7, ,Calm,1010.3,23.2,54,7,ESE,22,1010.0
,2020-10-19,15.1,21.3,3.0,4.4,6.0,SE,33,13:01,16.0,90,6,S,15,1017.3,19.4,67,2,SE,20,1016.8
,2020-10-20,16.0,22.2,0,7.2,4.7,E,33,16:00,17.4,82,7,NNE,6,1019.6,20.5,70,4,E,17,1017.9
,2020-10-21,14.6,24.6,0.4,3.0,11.9,NE,46,14:47,18.6,75,2,NNE,13,1017.7,24.1,58,1,NE,24,1014.2
,2020-10-22,16.0,26.3,0,8.0,7.5,NE,37,18:04,19.4,83,7,SE,7,1015.8,24.1,59,6,ESE,15,1013.9
,2020-10-23,18.1,25.7,0,2.8,9.9,NE,50,16:27,20.2,87,4,E,13,1014.4,24.1,70,7,ENE,22,1010.0
,2020-10-24,18.8,26.0,3.2,9.6,0.6,SSW,54,22:36,21.3,94,7,NNE,9,1005.9,21.9,90,8,N,7,1003.0
,2020-10-25,14.0,15.2,19.0,6.4,0.0,S,63,20:53,14.0,88,8,S,28,1013.1,13.1,94,8,SSW,26,1014.0
,2020-10-26,12.5,16.6,43.2,2.6,0.0,SSE,76,03:58,15.2,82,8,SSE,43,1017.6,14.6,96,8,S,33,1017.5
,2020-10-27,13.9,20.5,12.4,3.4,5.0,S,52,08:14,16.4,78,8,S,24,1020.4,19.6,67,7,SSW,22,1018.6
,2020-10-28,13.5,20.0,0.2,4.2,3.5,SSE,31,14:10,16.4,80,7,W,17,1020.1,18.9,75,6,SSE,17,1016.2
,2020-10-29,14.8,22.6,18.4,4.8,7.9,SW,35,03:44,16.4,91,8,SW,11,1013.8,21.1,59,2,SE,19,1010.4
,2020-10-30,12.8,24.7,0,4.0,10.4,ESE,30,15:59,17.1,87,3,WNW,11,1011.4,22.2,64,5,ESE,19,1010.1
,2020-10-31,16.9,,2.6,7.2,,,,,17.8,99,7,ESE,6,1006.6,18.9,78,7,S,24,1007.7
