"Daily Weather Observations for Sydney, New South Wales for January 2021"
"Prepared at 13:00 UTC on Sunday 21 February 2021   IDCJDW2124.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,17.8,22.0,4.2,2.4,0.0,SSE,39,09:52,20.5,73,8,SSE,17,1021.8,20.6,66,7,SSE,20,1020.5
,2021-01-2,16.1,22.4,5.2,4.2,0.0,E,37,20:12,18.4,92,8,WSW,11,1016.8,20.1,90,8,ESE,6,1013.9
,2021-01-3,18.0,26.5,7.8,2.2,2.9,ENE,35,14:07,20.5,100,8,NE,11,1009.6,25.5,79,3,NE,20,1007.1
,2021-01-4,20.4,27.7,0.6,3.2,1.2,W,80,15:25,22.3,92,8,NW,4,1006.6,25.7,77,7,E,9,1004.3
,2021-01-5,19.3,28.0,13.0,2.8,10.4,SSE,41,22:27,22.1,88,6,WNW,11,1008.9,25.2,72,4,E,19,1007.3
,2021-01-6,19.8,25.4,1.6,6.4,3.2,SSE,54,14:04,21.8,83,7,SSW,20,1014.6,23.9,68,5,SE,31,1014.9
,2021-01-7,18.4,23.5,1.8,9.2,8.0,SSE,57,23:55,21.9,60,5,SSE,24,1020.6,21.2,72,6,SE,20,1021.0
,2021-01-8,17.6,22.7,5.4,7.2,3.5,SSE,52,09:34,20.2,59,7,SSE,20,1023.6,22.2,61,7,SE,28,1023.1
,2021-01-9,16.7,26.7,0,6.0,12.0,ESE,35,10:19,21.7,66,4,SE,20,1022.9,26.5,54,1,ESE,17,1021.4
,2021-01-10,17.0,27.8,0,5.6,13.4,E,31,15:03,20.9,81,1,W,11,1021.2,27.2,58,1,E,24,1019.2
,2021-01-11,18.2,28.6,0,11.8,13.1,NE,43,17:17,21.5,77,3,NNW,4,1019.3,28.1,55,1,NE,22,1016.4
,2021-01-12,18.8,29.3,0,9.0,12.6,NE,41,16:41,23.1,74,6,E,7,1015.4,28.2,66,7,ENE,15,1013.1
,2021-01-13,20.9,29.8,0,10.0,12.6,NE,44,17:33,23.3,80,5,E,2,1017.9,29.5,58,1,ENE,22,1015.5
,2021-01-14,20.8,31.6,0,10.8,8.0,S,56,19:10,22.9,84,7,NE,9,1010.9,29.3,65,1,ENE,28,1006.0
,2021-01-15,20.6,28.1,0,10.4,9.0,WSW,48,22:53,21.9,80,7,SSW,15,1008.5,26.3,69,7,E,24,1002.5
,2021-01-16,17.3,27.0,0,10.6,13.2,W,52,00:10,19.1,36,0,W,24,1009.6,26.6,35,0,ESE,17,1008.0
,2021-01-17,16.3,27.1,0,9.0,11.8,ESE,43,13:08,20.3,48,0,W,20,1014.2,25.9,53,2,ESE,26,1013.9
,2021-01-18,18.4,30.1,0,9.6,12.9,E,35,15:14,22.3,78,1,NW,11,1014.7,30.0,56,1,NE,19,1010.2
,2021-01-19,21.1,25.2,0,8.6,0.8,SSE,54,09:45,23.0,79,5,SSE,24,1015.8,21.3,60,8,S,26,1018.7
,2021-01-20,17.0,23.1,1.2,8.2,2.4,SE,28,15:50,18.7,80,8,SSE,13,1023.5,22.1,58,7,SE,15,1022.2
,2021-01-21,15.2,28.2,0.2,4.8,13.3,NE,44,18:39,19.0,77,1,WNW,13,1020.3,27.7,50,1,E,28,1015.5
,2021-01-22,18.3,32.9,0,9.6,13.0,N,41,16:05,22.1,78,2,E,4,1011.5,30.9,56,1,E,17,1007.3
,2021-01-23,22.1,31.9,0,10.8,12.0,E,31,15:24,25.3,76,1,SSW,19,1012.7,30.5,61,1,E,17,1011.2
,2021-01-24,22.2,34.2,0,8.6,11.3,NNE,46,16:17,24.8,89,1,E,9,1012.5,32.7,50,2,NE,13,1009.2
,2021-01-25,21.9,32.3,0,13.0,12.4,NE,41,18:56,24.9,78,5,E,15,1009.4,30.5,58,1,ENE,15,1005.9
,2021-01-26,21.7,37.1,0,12.0,9.5,NNE,48,15:48,25.3,85,1,SE,6,1002.7,35.3,40,7,NE,22,999.2
,2021-01-27,21.3,23.5,0,12.0,0.2,SSE,54,07:24,22.5,85,8,S,28,1011.4,21.2,85,8,S,24,1014.3
,2021-01-28,18.6,22.5,19.0,4.4,0.0,SSE,46,17:15,20.5,88,8,SE,22,1020.7,21.7,75,8,ESE,30,1020.4
,2021-01-29,18.6,22.8,7.8,3.2,0.0,E,46,13:34,20.3,96,8,E,26,1018.5,20.5,99,8,E,28,1015.7
,2021-01-30,19.7,28.8,29.6,1.8,4.1,ENE,39,01:21,22.8,98,8,N,6,1012.3,26.8,83,6,NE,13,1010.3
,2021-01-31,21.8,23.4,0.4,7.4,0.0,SSE,50,11:12,23.2,86,8,S,26,1015.3,21.9,89,8,SSE,24,1016.6
