"Daily Weather Observations for Sydney, New South Wales for April 2021"
"Prepared at 13:00 UTC on Friday  7 May 2021   IDCJDW2124.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,14.6,27.3,6.6,4.8,9.8,W,26,01:36,15.9,92,1,W,17,1025.0,26.7,58,2,E,13,1023.2
,2021-04-2,15.9,27.3,0,2.8,10.8,ESE,20,13:18,17.5,98,3,WNW,15,1026.5,26.3,60,1,ESE,15,1025.7
,2021-04-3,16.0,26.9,0,4.0,10.8,NE,30,12:50,17.3,97,1,WNW,19,1026.2,26.6,58,1,ENE,20,1022.3
,2021-04-4,16.7,27.3,0,7.2,9.9,NNE,31,16:17,20.4,86,1,WNW,11,1019.8,25.0,71,6,E,11,1015.8
,2021-04-5,17.8,28.3,0,5.6,10.2,SSE,31,08:55,23.1,86,2,S,19,1019.5,28.2,64,2,SSE,19,1018.3
,2021-04-6,19.2,27.5,0.6,3.3,7.7,ESE,31,16:44,22.4,96,2,WNW,9,1021.9,24.3,77,6,ESE,20,1019.8
,2021-04-7,18.6,26.5,1.2,4.4,6.5,ENE,37,19:12,21.9,98,5,ESE,13,1019.3,23.7,77,7,SE,17,1015.7
,2021-04-8,18.4,26.8,6.8,3.2,10.0,N,22,03:06,20.7,99,2,WNW,9,1014.0,26.7,64,2,E,13,1009.9
,2021-04-9,17.2,28.8,0,4.8,6.4,SSE,52,18:24,20.2,87,2,W,13,1005.3,28.6,51,1,W,4,1001.5
,2021-04-10,16.5,24.5,0.2,6.4,8.0,W,48,20:15,16.9,74,7,W,19,1006.9,23.9,34,1,W,26,1004.0
,2021-04-11,13.5,19.7,0,5.8,10.6,W,67,10:04,16.5,42,1,W,31,1009.3,18.5,31,1,WSW,31,1010.2
,2021-04-12,9.6,20.5,0,6.8,10.9,WSW,37,08:20,13.7,54,1,W,24,1019.4,19.4,36,1,SSE,9,1018.2
,2021-04-13,10.3,22.9,0,4.0,10.2,W,31,06:58,14.5,71,1,WNW,15,1022.9,22.5,53,2,ENE,20,1018.1
,2021-04-14,14.1,27.8,0,5.4,8.5,NW,28,10:58,20.3,49,6,WNW,11,1015.0,26.0,31,5,NNW,13,1011.8
,2021-04-15,16.3,26.7,0,6.4,10.2,W,33,23:26,19.8,51,1,WNW,11,1016.1,26.4,31,3,WNW,4,1012.1
,2021-04-16,15.7,21.9,0,6.4,5.8,SSE,44,11:06,18.4,50,5,WNW,15,1020.7,19.3,60,6,SSE,24,1021.4
,2021-04-17,14.6,18.5,0,4.0,0.1,SE,19,00:04,16.0,80,8,WNW,7,1023.3,18.2,60,8,ENE,7,1021.6
,2021-04-18,10.9,23.1,0,4.0,9.6,W,24,05:03,14.4,86,4,W,15,1022.2,22.5,58,2,E,11,1018.9
,2021-04-19,11.8,24.2,0,1.6,10.5,WNW,22,04:09,14.9,86,1,WNW,17,1019.1,22.2,59,0,E,19,1014.4
,2021-04-20,11.2,22.9,0,4.0,6.8,WNW,28,00:14,15.9,67,2,WNW,13,1016.0,22.1,46,6,NNE,11,1010.7
,2021-04-21,14.1,20.9,0,5.2,10.4,SW,44,09:34,15.6,54,1,SW,20,1013.4,19.5,45,1,SSE,22,1013.0
,2021-04-22,10.3,21.3,0,6.0,10.6,WSW,46,17:59,14.0,63,1,W,19,1013.5,20.3,33,1,WSW,17,1010.8
,2021-04-23,9.2,23.1,0,5.4,10.6,W,46,10:27,14.0,63,1,W,9,1018.0,22.4,41,1,ESE,17,1016.1
,2021-04-24,10.5,23.5,0,4.0,10.0,W,24,09:00,13.6,72,3,W,20,1022.7,21.7,53,5,ENE,15,1019.5
,2021-04-25,11.3,23.8,0,3.2,9.7,W,30,07:00,14.9,67,1,WNW,20,1024.2,21.1,66,5,SE,19,1022.3
,2021-04-26,11.9,23.3,0,3.4,10.1,ENE,24,13:05,15.3,86,1,WNW,15,1025.7,21.6,58,2,E,11,1023.2
,2021-04-27,13.2,24.4,0,3.0,9.8,W,24,07:55,16.4,86,0,WNW,17,1027.8,21.8,61,1,ESE,15,1025.1
,2021-04-28,13.9,22.9,0,4.0,6.2,E,20,14:35,17.1,87,6,WNW,11,1026.5,21.7,63,7,ENE,13,1023.5
,2021-04-29,12.8,22.8,0,2.6,9.8,E,24,13:05,15.7,90,0,W,13,1025.1,21.8,63,1,E,19,1022.8
,2021-04-30,13.0,24.1,0,3.6,7.9,ESE,24,14:59,15.4,94,6,WNW,17,1029.1,22.9,67,3,ESE,19,1026.9
