"Daily Weather Observations for Sydney, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 17 August 2021   IDCJDW2124.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,14.3,23.0,0,3.2,7.1,ENE,30,18:44,16.8,97,2,WNW,17,1030.4,22.1,76,2,E,17,1027.6
,2021-05-2,14.8,24.6,0,0.4,8.2,NNE,31,11:19,16.6,98,7,W,11,1028.5,22.4,72,7,ENE,20,1024.7
,2021-05-3,13.8,24.7,0,4.0,7.6,NNE,26,17:04,15.1,100,6,WNW,13,1022.4,23.5,64,1,ENE,13,1017.8
,2021-05-4,15.1,17.1,0,4.0,0.0,WSW,33,00:56,16.9,85,8,WNW,15,1016.7,15.3,94,8,WSW,9,1015.4
,2021-05-5,14.2,19.5,18.0,73.0,0.7,S,35,11:36,15.3,100,7,SW,19,1014.9,18.6,86,7,SSW,19,1012.2
,2021-05-6,15.3,22.0,25.4,3.6,0.3,SSE,69,09:11,18.9,98,7,SSE,39,1011.8,21.2,91,7,SE,17,1011.3
,2021-05-7,17.8,22.8,16.4,1.8,6.8,SSE,39,12:30,19.2,96,7,SSE,19,1011.4,21.7,77,6,SSW,22,1009.3
,2021-05-8,15.0,26.2,0.4,3.8,6.7,WNW,24,09:15,17.3,96,5,WNW,19,1013.1,23.4,61,7,WNW,6,1012.1
,2021-05-9,16.2,19.4,0,4.4,0.0,WNW,26,07:13,17.7,71,7,WNW,15,1019.4,19.2,72,7,NW,4,1016.6
,2021-05-10,13.7,24.7,0,2.2,9.6,NW,37,14:18,16.6,87,0,W,20,1015.8,24.5,41,2,WNW,20,1011.7
,2021-05-11,15.1,23.6,0,3.2,6.0,SW,33,15:06,16.7,84,3,WNW,6,1015.3,19.2,61,7,SW,22,1014.7
,2021-05-12,12.8,22.5,0.4,3.0,9.5,S,37,10:38,15.4,86,4,W,15,1020.1,21.9,69,2,S,15,1017.6
,2021-05-13,13.3,24.4,0.8,3.4,9.5,W,31,23:07,15.3,91,1,WNW,15,1014.2,24.0,50,2,WNW,6,1009.2
,2021-05-14,13.2,20.3,0,4.0,9.9,WSW,50,10:11,16.0,50,1,W,26,1012.4,19.9,36,1,W,28,1011.4
,2021-05-15,10.5,18.6,0,5.2,7.3,W,65,13:38,13.3,65,5,W,9,1013.2,16.9,38,1,WNW,28,1011.6
,2021-05-16,7.8,19.2,0,5.2,9.7,W,50,23:25,10.3,58,1,W,24,1021.5,18.7,27,0,WNW,13,1017.9
,2021-05-17,9.0,20.2,0,2.8,9.8,W,43,00:10,12.5,64,1,W,24,1022.1,18.4,47,2,SSE,20,1022.5
,2021-05-18,8.7,20.6,0,4.0,9.5,W,30,04:51,11.3,74,1,W,20,1029.2,20.2,46,1,ENE,13,1026.3
,2021-05-19,8.5,21.3,0,3.4,9.8,W,26,08:41,11.0,81,0,W,19,1029.3,18.9,61,0,E,13,1025.4
,2021-05-20,8.6,21.6,0,2.8,7.8,WNW,28,07:55,11.3,78,4,W,20,1027.1,20.5,40,3,SSE,15,1025.0
,2021-05-21,10.0,16.4,0,2.8,0.5,S,28,09:48,11.7,84,7,W,19,1030.4,16.0,81,7,S,7,1028.3
,2021-05-22,9.0,21.8,1.4,0.4,9.4,W,30,08:10,11.4,87,2,W,24,1028.0,19.6,58,2,SSE,11,1024.7
,2021-05-23,10.5,20.3,0.2,3.0,4.6,SSW,30,14:35,12.6,89,7,W,20,1027.2,19.8,69,2,SSW,22,1025.9
,2021-05-24,12.5,18.7,1.0,1.2,1.2,ENE,31,15:52,15.2,100,4,WNW,17,1030.8,18.1,86,7,E,4,1028.2
,2021-05-25,12.9,22.6,2.6,5.0,9.2,NNE,35,17:25,14.6,99,5,W,15,1026.5,21.1,59,6,NE,17,1021.1
,2021-05-26,14.4,22.3,0,0.4,9.1,WSW,50,19:35,16.2,60,1,W,20,1017.6,21.4,34,1,W,19,1015.8
,2021-05-27,9.9,19.6,0,6.2,9.5,W,41,05:28,12.5,58,0,W,28,1024.1,19.0,41,1,W,24,1020.8
,2021-05-28,10.1,17.4,0,4.0,9.5,SW,59,11:49,12.8,63,1,W,22,1023.7,16.3,33,1,SSW,26,1024.4
,2021-05-29,8.6,16.0,0,6.0,4.1,SW,56,12:15,9.9,61,5,W,28,1028.8,14.3,55,8,SW,24,1027.1
,2021-05-30,9.9,16.2,0,2.8,1.6,W,43,07:08,12.1,70,7,W,20,1028.5,14.3,76,7,SSW,13,1026.7
,2021-05-31,9.6,20.4,0,2.4,9.3,W,33,08:53,11.8,71,1,W,24,1025.9,18.8,52,1,E,11,1023.2
