"Daily Weather Observations for Sydney, New South Wales for June 2021"
"Prepared at 16:00 UTC on Monday 16 August 2021   IDCJDW2124.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,8.6,20.5,0,2.8,6.0,WNW,24,05:02,10.0,95,6,WNW,19,1023.7,19.6,48,7,W,6,1020.5
,2021-06-2,9.4,22.0,0,1.8,9.3,W,22,02:22,11.0,88,3,WNW,15,1021.8,19.7,61,1,E,11,1017.7
,2021-06-3,10.9,13.4,0,2.4,0.0,W,31,09:53,12.4,92,7,WNW,11,1015.2,13.1,98,8,WNW,11,1010.8
,2021-06-4,10.5,20.5,7.8,1.4,6.4,W,43,13:53,12.0,95,2,W,17,1010.8,17.6,56,7,W,28,1010.7
,2021-06-5,8.5,18.0,0.2,3.2,9.3,SSW,31,01:29,11.1,76,1,WNW,20,1022.9,17.7,39,1,W,9,1020.4
,2021-06-6,8.1,21.3,0,2.2,9.3,W,41,06:52,10.8,66,0,W,24,1024.0,21.1,39,1,ENE,2,1023.0
,2021-06-7,7.9,20.2,0,3.2,8.6,W,22,02:12,10.5,84,6,W,15,1024.0,19.3,62,6,ENE,13,1018.7
,2021-06-8,10.4,19.1,0,2.6,1.3,W,46,21:36,14.7,55,6,N,19,1013.5,18.4,54,7,NNE,26,1008.5
,2021-06-9,10.2,15.7,7.4,2.4,7.6,NNW,44,15:36,10.5,86,3,WNW,30,1005.0,12.8,56,4,NW,19,1001.7
,2021-06-10,6.7,10.3,0,4.0,0.0,NNW,31,00:04,9.3,81,7,NNE,15,1006.0,9.8,86,8,NNW,11,1005.5
,2021-06-11,5.8,15.4,6.0,1.6,4.9,WNW,31,12:31,7.1,100,3,WNW,17,1011.0,14.6,64,7,NW,11,1009.6
,2021-06-12,7.1,18.8,0,2.5,9.3,W,39,13:15,12.9,66,1,N,19,1016.1,17.7,41,1,WNW,17,1013.8
,2021-06-13,8.1,19.6,0,4.2,9.4,W,37,12:04,11.6,71,1,W,11,1017.4,18.6,45,1,WSW,19,1014.3
,2021-06-14,9.9,17.8,0,4.6,0.4,W,30,09:25,11.0,70,7,W,22,1016.6,17.4,66,7,SSW,9,1014.9
,2021-06-15,10.6,18.2,0,0.0,0.9,W,26,03:18,12.6,85,6,WNW,19,1018.0,16.7,76,7,S,7,1015.7
,2021-06-16,8.8,20.2,0,1.6,7.4,W,54,22:37,10.3,98,1,WNW,11,1017.9,20.0,61,5,ENE,11,1013.5
,2021-06-17,9.5,17.9,6.2,2.0,8.3,W,50,01:24,11.9,70,1,NW,7,1009.9,17.3,41,3,W,28,1007.6
,2021-06-18,9.0,18.9,0,4.0,8.0,W,65,13:50,12.1,75,1,W,9,1007.4,18.1,46,6,W,35,1004.7
,2021-06-19,11.0,14.6,1.8,4.0,0.0,SSW,67,16:22,13.3,61,7,W,30,1012.0,12.9,89,8,SW,35,1014.2
,2021-06-20,11.5,15.3,10.8,1.3,1.5,SW,46,07:43,12.6,85,6,SW,20,1023.1,13.7,87,7,SW,20,1022.7
,2021-06-21,9.9,15.8,9.4,1.2,3.3,W,33,03:14,11.5,97,7,W,17,1027.4,14.8,82,3,SSW,17,1026.1
,2021-06-22,9.4,18.9,1.4,2.2,2.8,W,30,07:42,10.7,94,7,WNW,19,1031.8,17.1,68,4,E,4,1029.7
,2021-06-23,10.0,19.2,0,0.0,2.9,NNW,33,12:41,12.0,99,7,W,6,1027.6,17.3,62,6,N,19,1022.8
,2021-06-24,12.0,21.7,0,3.6,3.1,N,48,13:26,15.4,74,7,NNE,9,1015.8,20.1,57,4,N,24,1010.6
,2021-06-25,11.6,19.8,0,3.0,9.1,W,44,14:37,15.1,63,1,WNW,17,1015.5,19.5,42,1,W,20,1013.7
,2021-06-26,9.2,19.1,0,4.8,9.2,W,43,12:38,13.3,67,1,WNW,19,1018.9,17.8,43,3,W,24,1018.3
,2021-06-27,8.1,19.6,0,4.6,9.1,W,28,11:00,10.7,76,1,WNW,15,1025.7,19.3,38,0,WNW,7,1024.7
,2021-06-28,8.0,17.0,0.6,0.6,2.8,SSW,33,15:21,8.9,91,6,W,22,1032.2,16.6,76,4,SSW,17,1030.5
,2021-06-29,8.9,17.2,3.2,2.2,1.8,WNW,26,00:47,11.3,98,7,W,20,1034.1,14.4,93,5,NW,4,1031.6
,2021-06-30,11.1,18.3,25.6,2.0,1.9,W,20,09:27,11.7,100,7,WNW,11,1031.5,16.4,88,7,E,7,1027.7
