"Daily Weather Observations for Sydney, New South Wales for February 2022"
"Prepared at 16:00 UTC on Saturday  2 April 2022   IDCJDW2124.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,21.8,31.9,0,8.2,9.4,N,30,17:46,24.3,87,1,WSW,2,1003.5,30.9,67,7,ENE,15,998.3
,2022-02-2,20.3,21.3,7.8,,0.0,S,46,11:19,20.4,98,8,S,19,1004.8,20.8,85,8,S,24,1006.0
,2022-02-3,18.1,24.3,7.0,10.4,8.0,SSW,63,15:49,19.9,72,4,SW,24,1007.7,22.5,61,7,SSW,35,1007.6
,2022-02-4,15.6,23.7,4.4,8.8,5.8,SSE,59,16:21,18.1,86,5,SSW,17,1015.0,18.2,93,7,WNW,6,1015.9
,2022-02-5,17.2,25.3,15.4,8.6,6.5,SE,56,09:04,19.1,77,7,ESE,35,1019.3,24.4,50,7,SSE,30,1018.9
,2022-02-6,18.6,26.1,0.4,9.0,10.1,SSE,61,11:38,22.0,57,5,SE,20,1022.5,22.9,65,6,SE,9,1023.3
,2022-02-7,17.1,25.1,15.6,8.0,4.3,ESE,52,01:31,19.5,85,6,S,24,1022.4,20.3,86,6,SSW,15,1020.6
,2022-02-8,16.0,25.5,12.8,3.8,6.8,SW,31,00:25,16.8,96,8,W,7,1017.4,23.9,65,3,ESE,22,1013.8
,2022-02-9,16.6,31.3,1.8,6.6,12.8,E,31,12:42,19.1,87,1,WNW,13,1011.6,27.3,54,3,E,19,1009.5
,2022-02-10,18.7,30.7,0,8.8,9.8,SW,43,21:02,21.4,74,0,W,11,1012.5,29.4,54,2,E,15,1010.1
,2022-02-11,20.3,24.3,5.0,8.6,3.1,SSE,50,14:16,22.8,83,6,SSW,20,1016.2,24.2,77,7,S,22,1016.3
,2022-02-12,19.8,25.5,5.8,6.0,2.0,SE,43,01:04,22.3,59,7,SE,19,1018.4,21.3,82,7,ESE,20,1018.4
,2022-02-13,17.9,27.5,12.0,4.2,9.3,ESE,33,01:03,19.6,96,5,W,13,1022.1,27.2,53,4,ENE,19,1021.6
,2022-02-14,16.8,28.1,0,9.0,11.3,ENE,43,12:32,19.9,82,7,WNW,7,1025.1,27.9,57,7,NE,24,1023.6
,2022-02-15,19.1,28.5,0,7.2,11.5,ENE,44,15:50,21.3,86,2,W,4,1024.5,28.0,60,1,NE,28,1022.3
,2022-02-16,19.0,28.7,0,9.4,11.2,NE,43,16:29,21.4,86,2,WNW,9,1020.6,28.3,56,2,ENE,28,1016.3
,2022-02-17,18.9,29.6,0,9.6,10.8,N,37,17:55,21.2,86,5,NNW,2,1010.7,28.9,65,5,ENE,15,1006.9
,2022-02-18,20.5,29.8,0.6,8.0,11.7,SE,50,20:46,23.3,90,4,N,2,1010.4,29.8,68,1,ESE,20,1009.8
,2022-02-19,20.9,24.0,0.2,9.0,0.0,SE,46,01:37,22.3,67,7,SE,17,1020.5,22.2,75,8,SE,13,1019.6
,2022-02-20,18.8,29.8,0,4.0,12.1,NE,50,17:56,20.9,85,1,WNW,9,1014.2,28.6,58,1,NE,22,1008.1
,2022-02-21,20.9,31.6,0,6.6,6.6,NW,65,05:57,24.3,55,7,W,15,1007.1,28.8,62,7,SE,24,1009.0
,2022-02-22,21.1,23.5,8.2,8.0,0.0,E,54,12:41,22.6,90,7,ESE,28,1016.7,20.0,98,8,NE,6,1018.3
,2022-02-23,20.0,26.3,105.2,,3.2,E,67,00:10,22.0,99,7, ,Calm,1019.4,25.1,90,7,SSW,2,1018.1
,2022-02-24,21.0,27.9,44.4,3.8,1.0,E,52,22:54,21.6,99,8,E,13,1018.6,26.6,76,7,ENE,17,1016.3
,2022-02-25,20.8,24.2,24.4,2.6,0.0,E,41,23:01,21.2,99,7,N,11,1015.3,21.2,91,8,SE,7,1014.0
,2022-02-26,19.6,21.5,49.8,1.4,0.0,ENE,39,13:45,20.0,99,8,N,6,1015.9,21.0,99,8,ENE,28,1014.8
,2022-02-27,19.4,26.7,22.0,3.2,2.9,NE,28,18:45,20.4,98,7,WNW,9,1015.0,25.7,77,7,ESE,13,1012.9
,2022-02-28,20.4,25.7,13.2,1.6,0.0,ENE,31,23:44,21.4,99,7,SSE,9,1015.0,25.4,79,7,ESE,7,1013.2
