"Daily Weather Observations for Sydney, New South Wales for March 2022"
"Prepared at 13:00 UTC on Saturday  2 April 2022   IDCJDW2124.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,19.4,23.1,34.6,2.4,0.2,,,,20.0,99,7,E,28,1012.9,20.5,95,7,ESE,35,1011.7
,2022-03-2,20.0,22.7,25.2,4.0,0.0,E,63,10:41,22.5,85,7,ESE,39,1010.3,21.0,96,8,E,26,1009.4
,2022-03-3,19.7,24.9,50.8,2.4,1.3,ESE,57,16:28,21.5,98,7,SSE,24,1009.4,24.1,87,7,SSE,30,1009.0
,2022-03-4,21.4,26.9,19.6,2.6,6.7,ESE,48,02:09,23.2,98,6,SSE,20,1011.5,25.7,82,6,SE,22,1010.1
,2022-03-5,20.7,28.0,8.6,3.3,5.3,WNW,44,22:11,22.0,100,7,W,4,1008.0,26.3,81,7,ENE,19,1005.0
,2022-03-6,20.2,24.8,33.8,5.6,0.9,SSW,56,14:08,21.1,100,8,S,30,1004.9,22.6,94,8,S,30,1006.4
,2022-03-7,21.1,27.8,31.4,7.2,1.0,ESE,50,04:59,23.6,97,8,ESE,17,1008.6,27.1,88,7,ESE,19,1007.4
,2022-03-8,21.3,22.4,95.4,,,SSW,80,19:53,21.5,100,8,SSW,11,1005.6,20.3,100,8,SW,28,1004.0
,2022-03-9,18.3,24.4,50.8,,5.6,SSW,61,11:35,21.1,77,7,SW,24,1008.6,24.1,61,7,SSW,31,1011.3
,2022-03-10,15.7,23.3,0.2,6.8,8.9,SSE,44,15:34,16.9,64,2,SW,13,1018.1,22.9,52,3,SSW,20,1017.0
,2022-03-11,15.1,24.8,0,8.0,9.9,ESE,33,14:06,16.8,80,4,W,19,1020.1,22.8,62,3,SSE,19,1019.0
,2022-03-12,16.8,26.5,0.2,6.0,7.9,ENE,31,13:04,18.4,92,7,WNW,13,1022.9,25.9,57,3,ENE,24,1022.0
,2022-03-13,16.8,23.8,1.8,3.8,2.3,ESE,28,18:15,18.1,95,6,NW,11,1024.6,23.3,68,7,SE,9,1023.1
,2022-03-14,16.7,23.7,0.2,2.8,5.1,E,33,21:18,18.0,99,2,WNW,15,1022.4,20.4,93,6,SSW,4,1021.8
,2022-03-15,16.3,26.3,2.4,3.4,9.3,ESE,35,15:15,18.1,97,3,SSE,6,1022.9,25.3,57,4,ESE,24,1021.1
,2022-03-16,18.1,26.4,11.6,7.0,3.4,ESE,39,23:01,19.7,99,7,NW,9,1021.0,23.5,75,7,ESE,17,1018.7
,2022-03-17,18.3,26.9,5.4,2.0,7.4,E,24,13:45,19.6,100,1,WNW,15,1018.6,25.9,72,7,E,19,1015.3
,2022-03-18,19.6,28.6,0,4.4,7.3,SSW,50,20:16,21.4,96,6,N,2,1017.0,27.5,62,4,E,19,1015.6
,2022-03-19,19.3,22.8,37.0,6.8,1.8,SSE,48,10:28,20.3,90,7,SE,26,1019.2,22.2,66,7,S,28,1019.2
,2022-03-20,16.3,27.0,0.4,5.0,10.1,ESE,35,14:20,17.9,80,4,W,20,1017.6,26.5,54,1,SE,20,1015.7
,2022-03-21,17.8,25.9,0,7.0,7.1,S,31,11:31,19.6,80,7,W,15,1017.4,25.1,53,5,SSE,19,1015.5
,2022-03-22,16.1,27.7,0,2.8,10.3,NNE,37,17:20,17.8,94,2,W,13,1014.2,27.3,62,1,ENE,19,1009.1
,2022-03-23,17.8,24.3,0,5.6,2.4,S,46,12:53,22.5,87,7,S,24,1008.7,23.1,74,7,SSE,26,1010.9
,2022-03-24,18.5,21.7,1.6,5.8,0.2,SE,31,03:54,18.7,95,8,WSW,6,1016.7,20.3,92,8,NE,11,1015.7
,2022-03-25,17.6,24.6,16.6,1.4,2.1,ESE,48,21:47,18.9,100,7,W,9,1019.1,22.9,76,7,SSE,13,1019.0
,2022-03-26,17.9,22.5,8.4,2.8,0.8,ESE,43,05:58,19.8,87,7,SSE,2,1022.0,21.3,75,7,ESE,22,1020.3
,2022-03-27,16.7,22.9,1.8,2.8,0.0,ESE,44,10:56,18.1,99,7,W,13,1020.0,22.6,84,8,SE,11,1017.0
,2022-03-28,18.1,25.4,14.2,1.2,3.0,SSE,31,21:17,19.4,100,7,WNW,9,1013.7,24.0,78,7,ESE,17,1012.0
,2022-03-29,19.4,23.4,57.4,3.4,0.3,SW,39,05:49,20.2,100,8,S,6,1012.2,22.5,89,8,ESE,6,1010.6
,2022-03-30,18.4,23.5,27.6,1.8,3.1,SSW,50,16:18,20.3,100,6,SSW,13,1010.8,22.6,81,7,SSW,28,1008.8
,2022-03-31,18.1,21.5,17.0,5.0,1.3,SSE,76,14:08,18.5,82,7,SW,17,1013.4,21.5,69,8,SSE,37,1014.4
