Location,Count,SumEvaporation,CountEvaporation,MeanEvaporation,SumSunshine,CountSunshine,MeanSunshine,SumCloud9am,CountCloud9am,MeanCloud9am,SumCloud3pm,CountCloud3pm,MeanCloud3pm
Albury,3011,0.0,0,nan,0.0,0,nan,8195.0,1282,6.392355694227769,7669.0,1415,5.4197879858657245
BadgerysCreek,2928,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Cobar,2988,17870.599999999962,2659,6.720797292215104,4770.9000000000015,550,8.674363636363639,8640.0,2619,3.2989690721649483,10348.0,2687,3.851135094901377
CoffsHarbour,2953,6953.500000000004,1781,3.904267265581136,10977.300000000014,1491,7.3623742454728465,9452.0,2187,4.321902149062643,9983.0,2222,4.4927992799279926
Moree,2854,17060.600000000006,2236,7.6299642218246895,18264.69999999998,2053,8.896590355577194,7865.0,2371,3.3171657528469,9825.0,2490,3.9457831325301207
Newcastle,2955,0.0,0,nan,0.0,0,nan,11445.0,2774,4.125811103100216,9018.0,2095,4.304534606205251
NorahHead,2929,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
NorfolkIsland,2964,13057.999999999985,2756,4.738026124818572,18045.900000000034,2570,7.021750972762659,14503.0,2903,4.995866345160179,14071.0,2906,4.842050929112181
Penrith,2964,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Richmond,2951,8393.900000000005,1596,5.259335839599001,0.0,0,nan,3764.0,603,6.24212271973466,3193.0,580,5.505172413793104
Sydney,3337,17045.90000000002,3286,5.18743152769325,23842.700000000037,3321,7.179373682625727,11587.0,2771,4.181522915914832,11711.0,2776,4.218659942363113
SydneyAirport,3005,15542.000000000005,2959,5.252450152078406,21515.200000000048,2989,7.19812646370025,12834.0,3001,4.276574475174941,12846.0,3005,4.274875207986689
WaggaWagga,2976,14718.79999999996,2853,5.159060637924977,21109.500000000055,2575,8.197864077669925,10626.0,2769,3.837486457204767,11803.0,2818,4.188431511710433
Williamtown,2553,12425.500000000015,1786,6.957166853303479,9646.200000000019,1351,7.1400444115470165,9540.0,2095,4.5536992840095465,8971.0,2042,4.393241919686582
Canberra,3418,8029.799999999992,1823,4.40471749862863,11193.700000000023,1512,7.403240740740755,11463.0,2352,4.873724489795919,10364.0,2164,4.789279112754159
Tuggeranong,2998,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Wollongong,2983,0.0,0,nan,0.0,0,nan,8219.0,1322,6.217095310136157,8196.0,1398,5.8626609442060085
Ballarat,3028,0.0,0,nan,0.0,0,nan,14400.0,2484,5.797101449275362,12492.0,1987,6.2868646200301965
Bendigo,3034,4564.299999999997,1185,3.851729957805905,0.0,0,nan,9101.0,2070,4.396618357487923,11011.0,2267,4.857079841199823
MountGinini,2907,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Sale,3000,7024.399999999992,1834,3.8300981461286763,12150.900000000009,1818,6.6836633663366385,14141.0,2645,5.346313799621928,13311.0,2613,5.094144661308841
Melbourne,2435,11191.000000000002,2435,4.595893223819303,15737.700000000035,2434,6.465776499589168,10695.0,2029,5.271069492360769,10436.0,1968,5.3028455284552845
