Location,Mapping
"Adelaide","0"
"Albany","0"
"Albury","0"
"AliceSprings","1"
"BadgerysCreek","0"
"Ballarat","0"
"Bendigo","0"
"Brisbane","2"
"Cairns","3"
"Canberra","0"
"Cobar","4"
"CoffsHarbour","2"
"Dartmoor","0"
"Darwin","3"
"GoldCoast","2"
"Hobart","0"
"Katherine","3"
"Launceston","0"
"Melbourne","0"
"MelbourneAirport","0"
"Mildura","4"
"Moree","2"
"MountGambier","0"
"MountGinini","0"
"Newcastle","0"
"Nhil","4"
"NorahHead","0"
"NorfolkIsland","2"
"Nuriootpa","0"
"PearceRAAF","2"
"Penrith","0"
"Perth","2"
"PerthAirport","2"
"Portland","0"
"Richmond","0"
"Sale","0"
"SalmonGums","4"
"Sydney","0"
"SydneyAirport","0"
"Townsville","3"
"Tuggeranong","0"
"Uluru","1"
"WaggaWagga","0"
"Walpole","0"
"Watsonia","0"
"Williamtown","0"
"Witchcliffe","0"
"Wollongong","0"
"Woomera","1"
